combination_id,entitlement_1,entitlement_2,entitlement_1_name,entitlement_2_name,frequency,log_frequency,is_rare,max_risk,min_risk,avg_risk,risk_difference,both_high_risk,max_criticality,avg_criticality,same_application,same_type,same_function,cross_function_high_risk,combined_risk_score,cluster,distance_to_center,is_anomaly,anomaly_score,batch_id,processing_timestamp
ENT037_ENT1059,ENT037,ENT1059,Write_Customerprofiles,Read_LoanOriginationSystemAsiareferencedata,5,1.791759469228055,0,7,5,6.0,2,1,9,8.5,0,0,1,1,51.5,0,2.3384598084034236,False,0.22649831030731785,22,2025-06-13 14:07:46.807701
ENT037_ENT1280,ENT037,ENT1280,Write_Customerprofiles,Execute_TreasuryManagementAmericasnotifications,5,1.791759469228055,0,7,6,6.5,1,1,9,8.0,0,0,1,1,52.5,0,1.6789112130786241,False,0.16261581727929983,22,2025-06-13 14:07:46.807701
ENT037_ENT1463,ENT037,ENT1463,Write_Customerprofiles,Write_RiskEngineEuropeworkflowrules,2,1.0986122886681096,0,7,6,6.5,1,1,9,8.5,0,1,1,1,55.5,0,2.6507665391236372,False,0.2567476849390873,22,2025-06-13 14:07:46.807701
ENT037_ENT1676,ENT037,ENT1676,Write_Customerprofiles,Write_FraudDetectionAsianotifications,4,1.6094379124341003,0,7,7,7.0,0,1,9,9.0,0,1,1,1,63.0,0,2.3061404207933855,False,0.22336792223841245,22,2025-06-13 14:07:46.807701
ENT037_ENT1721,ENT037,ENT1721,Write_Customerprofiles,Write_FraudDetectionAmericasauditlogs,4,1.6094379124341003,0,7,7,7.0,0,1,9,9.0,0,1,1,1,63.0,0,2.3061404207933855,False,0.22336792223841245,22,2025-06-13 14:07:46.807701
ENT037_ENT1986,ENT037,ENT1986,Write_Customerprofiles,Write_WealthManagementAmericasconfigurationsettings,3,1.3862943611198906,0,7,6,6.5,1,1,9,8.0,0,1,1,1,52.5,0,1.7363205256475283,False,0.16817636283412776,22,2025-06-13 14:07:46.807701
ENT037_ENT215,ENT037,ENT215,Write_Customerprofiles,Read_Tradingpositions,4,1.6094379124341003,0,7,6,6.5,1,1,9,9.0,0,0,1,1,58.5,0,1.2400214266009375,False,0.12010587347307898,22,2025-06-13 14:07:46.807701
ENT037_ENT463,ENT037,ENT463,Write_Customerprofiles,Execute_ATMNetworkdashboards,4,1.6094379124341003,0,7,7,7.0,0,1,9,8.5,0,0,1,1,59.5,0,1.7677579306579865,False,0.171221323919081,22,2025-06-13 14:07:46.807701
ENT037_ENT471,ENT037,ENT471,Write_Customerprofiles,Execute_ATMNetworkreports,4,1.6094379124341003,0,7,7,7.0,0,1,9,8.5,0,0,1,1,59.5,0,1.7677579306579865,False,0.171221323919081,22,2025-06-13 14:07:46.807701
ENT037_ENT642,ENT037,ENT642,Write_Customerprofiles,Read_EmailSystemconfigurationsettings,4,1.6094379124341003,0,7,4,5.5,3,1,9,7.0,0,0,1,1,41.5,1,2.4099789986325044,False,0.23342550900588954,22,2025-06-13 14:07:46.807701
ENT037_ENT650,ENT037,ENT650,Write_Customerprofiles,Read_EmailSystemreferencedata,4,1.6094379124341003,0,7,4,5.5,3,1,9,7.0,0,0,1,1,41.5,1,2.4099789986325044,False,0.23342550900588954,22,2025-06-13 14:07:46.807701
ENT037_ENT802,ENT037,ENT802,Write_Customerprofiles,Write_CoreBankingAsianotifications,2,1.0986122886681096,0,7,7,7.0,0,1,9,9.0,0,1,1,1,63.0,0,3.195813972881146,False,0.30953983571276344,22,2025-06-13 14:07:46.807701
ENT037_ENT861,ENT037,ENT861,Write_Customerprofiles,Write_CoreBankingEuropenotifications,4,1.6094379124341003,0,7,7,7.0,0,1,9,9.0,0,1,1,1,63.0,0,2.3061404207933855,False,0.22336792223841245,22,2025-06-13 14:07:46.807701
ENT037_ENT975,ENT037,ENT975,Write_Customerprofiles,Read_PaymentHubEuropedashboards,5,1.791759469228055,0,7,5,6.0,2,1,9,8.5,0,0,1,1,51.5,0,2.3384598084034236,False,0.22649831030731785,22,2025-06-13 14:07:46.807701
ENT1059_ENT1280,ENT1059,ENT1280,Read_LoanOriginationSystemAsiareferencedata,Execute_TreasuryManagementAmericasnotifications,6,1.9459101490553132,0,6,5,5.5,1,1,8,7.5,0,0,1,1,41.0,1,2.0672258797989316,False,0.20022716110639271,22,2025-06-13 14:07:46.807701
