combination_id,entitlement_1,entitlement_2,entitlement_1_name,entitlement_2_name,frequency,log_frequency,is_rare,max_risk,min_risk,avg_risk,risk_difference,both_high_risk,max_criticality,avg_criticality,same_application,same_type,same_function,cross_function_high_risk,combined_risk_score,cluster,distance_to_center,is_anomaly,anomaly_score,batch_id,processing_timestamp
ENT1325_ENT1436,ENT1325,ENT1436,Execute_TradingPlatformEuropeworkflowrules,Write_RiskEngineAsianotifications,3,1.3862943611198906,0,8,6,7.0,2,1,9,8.5,0,0,1,1,60.0,1,1.2565841539445581,False,0.3315447448585662,59,2025-06-13 14:08:39.940927
ENT1325_ENT1458,ENT1325,ENT1458,Execute_TradingPlatformEuropeworkflowrules,Admin_RiskEngineEuropeconfigurationsettings,1,0.6931471805599453,1,8,8,8.0,0,1,9,8.5,0,0,1,1,68.0,2,1.4925819296671043,False,0.39381182191305925,59,2025-06-13 14:08:39.940927
ENT1325_ENT1564,ENT1325,ENT1564,Execute_TradingPlatformEuropeworkflowrules,Write_RegReportingEuropereports,1,0.6931471805599453,1,8,6,7.0,2,1,9,8.0,0,0,1,1,57.0,2,1.5914302364671078,False,0.41989255558682986,59,2025-06-13 14:08:39.940927
ENT1325_ENT177,ENT1325,ENT177,Execute_TradingPlatformEuropeworkflowrules,Write_Investmentportfolios,2,1.0986122886681096,0,8,6,7.0,2,1,9,8.0,0,0,1,1,57.0,1,1.3017806678362958,False,0.3434696657798545,59,2025-06-13 14:08:39.940927
ENT1325_ENT1771,ENT1325,ENT1771,Execute_TradingPlatformEuropeworkflowrules,Execute_CardManagementAsiaconfigurationsettings,3,1.3862943611198906,0,8,7,7.5,1,1,9,8.5,0,1,1,1,64.0,1,2.5664703496225707,False,0.6771530220094062,59,2025-06-13 14:08:39.940927
ENT1325_ENT1834,ENT1325,ENT1834,Execute_TradingPlatformEuropeworkflowrules,Write_CardManagementEuropedashboards,4,1.6094379124341003,0,8,6,7.0,2,1,9,8.5,0,0,1,1,60.0,1,1.5749385838647794,False,0.41554129846077803,59,2025-06-13 14:08:39.940927
ENT1325_ENT1906,ENT1325,ENT1906,Execute_TradingPlatformEuropeworkflowrules,Read_WealthManagementAsiaconfigurationsettings,4,1.6094379124341003,0,8,4,6.0,4,1,9,8.0,0,0,1,1,50.0,0,1.6822550099483702,False,0.4438563118192762,59,2025-06-13 14:08:39.940927
ENT1325_ENT1946,ENT1325,ENT1946,Execute_TradingPlatformEuropeworkflowrules,Admin_WealthManagementEuropedashboards,1,0.6931471805599453,1,8,8,8.0,0,1,9,8.0,0,0,1,1,64.0,2,1.551699252352552,False,0.4094096930185809,59,2025-06-13 14:08:39.940927
ENT1325_ENT264,ENT1325,ENT264,Execute_TradingPlatformEuropeworkflowrules,Admin_Stresstests,3,1.3862943611198906,0,8,8,8.0,0,1,9,8.5,0,0,1,1,68.0,1,2.473517314125736,False,0.6526277322857645,59,2025-06-13 14:08:39.940927
ENT1325_ENT349,ENT1325,ENT349,Execute_TradingPlatformEuropeworkflowrules,Execute_Fraudcases,1,0.6931471805599453,1,8,8,8.0,0,1,9,9.0,0,1,1,1,72.0,2,2.8282148480731544,False,0.7462132697329829,59,2025-06-13 14:08:39.940927
ENT1325_ENT428,ENT1325,ENT428,Execute_TradingPlatformEuropeworkflowrules,Read_WealthManagementsystemparameters,3,1.3862943611198906,0,8,4,6.0,4,1,9,8.0,0,0,1,1,50.0,0,1.37459365255598,False,0.3626810829901526,59,2025-06-13 14:08:39.940927
