combination_id,entitlement_1,entitlement_2,entitlement_1_name,entitlement_2_name,frequency,log_frequency,is_rare,max_risk,min_risk,avg_risk,risk_difference,both_high_risk,max_criticality,avg_criticality,same_application,same_type,same_function,cross_function_high_risk,combined_risk_score,cluster,distance_to_center,is_anomaly,anomaly_score,batch_id,processing_timestamp
ENT1258_ENT1466,ENT1258,ENT1466,Write_TreasuryManagementAmericassystemparameters,Admin_RiskEngineEuropeuseraccounts,2,1.0986122886681096,0,8,6,7.0,2,1,8,7.5,0,0,1,1,53.0,0,1.970993904841934,False,0.6589586561808154,58,2025-06-13 14:06:17.601311
ENT1258_ENT1567,ENT1258,ENT1567,Write_TreasuryManagementAmericassystemparameters,Admin_RegReportingEuropedashboards,4,1.6094379124341003,0,8,6,7.0,2,1,7,7.0,0,0,1,1,49.0,0,1.9957504665221077,False,0.6672354705212094,58,2025-06-13 14:06:17.601311
ENT1258_ENT1633,ENT1258,ENT1633,Write_TreasuryManagementAmericassystemparameters,Admin_RegReportingAmericasconfigurationsettings,3,1.3862943611198906,0,8,6,7.0,2,1,7,7.0,0,0,1,1,49.0,0,1.9078561862496368,False,0.6378499424015919,58,2025-06-13 14:06:17.601311
ENT1258_ENT1719,ENT1258,ENT1719,Write_TreasuryManagementAmericassystemparameters,Read_FraudDetectionEuropeconfigurationsettings,8,2.1972245773362196,0,6,6,6.0,0,1,9,8.0,0,0,1,1,48.0,4,1.849096162546937,False,0.6182048150568733,58,2025-06-13 14:06:17.601311
ENT1258_ENT1761,ENT1258,ENT1761,Write_TreasuryManagementAmericassystemparameters,Read_CardManagementAsianotifications,8,2.1972245773362196,0,6,5,5.5,1,1,8,7.5,0,0,1,1,41.0,1,2.0240315978323387,False,0.6766906475451877,58,2025-06-13 14:06:17.601311
ENT1258_ENT181,ENT1258,ENT181,Write_TreasuryManagementAmericassystemparameters,Admin_Cashpositions,5,1.791759469228055,0,8,6,7.0,2,1,7,7.0,0,0,1,1,49.0,0,2.2553336480088517,False,0.7540214235469562,58,2025-06-13 14:06:17.601311
ENT1258_ENT1908,ENT1258,ENT1908,Write_TreasuryManagementAmericassystemparameters,Read_WealthManagementAsianotifications,7,2.0794415416798357,0,6,4,5.0,2,1,7,7.0,0,0,1,1,35.0,1,2.5448304909709165,True,0.8508083543123102,58,2025-06-13 14:06:17.601311
ENT1258_ENT217,ENT1258,ENT217,Write_TreasuryManagementAmericassystemparameters,Write_Marketdata,3,1.3862943611198906,0,7,6,6.5,1,1,9,8.0,0,1,1,1,52.5,2,2.3006298869864086,False,0.769165229265163,58,2025-06-13 14:06:17.601311
ENT1258_ENT285,ENT1258,ENT285,Write_TreasuryManagementAmericassystemparameters,Admin_Compliancedata,3,1.3862943611198906,0,8,6,7.0,2,1,7,7.0,0,0,1,1,49.0,0,1.9078561862496368,False,0.6378499424015919,58,2025-06-13 14:06:17.601311
ENT1258_ENT583,ENT1258,ENT583,Write_TreasuryManagementAmericassystemparameters,Read_GeneralLedgersystemparameters,7,2.0794415416798357,0,6,5,5.5,1,1,8,7.5,0,0,1,1,41.0,1,1.9380658920809453,False,0.6479498960895832,58,2025-06-13 14:06:17.601311
ENT1258_ENT732,ENT1258,ENT732,Write_TreasuryManagementAmericassystemparameters,Read_DataWarehouseconfigurationsettings,7,2.0794415416798357,0,6,4,5.0,2,1,7,7.0,0,0,1,1,35.0,1,2.5448304909709165,True,0.8508083543123102,58,2025-06-13 14:06:17.601311
ENT1258_ENT780,ENT1258,ENT780,Write_TreasuryManagementAmericassystemparameters,Read_ActiveDirectorybatchjobs,8,2.1972245773362196,0,6,5,5.5,1,1,8,7.5,0,0,1,1,41.0,1,2.0240315978323387,False,0.6766906475451877,58,2025-06-13 14:06:17.601311
ENT1258_ENT847,ENT1258,ENT847,Write_TreasuryManagementAmericassystemparameters,Read_CoreBankingEuropeconfigurationsettings,7,2.0794415416798357,0,6,6,6.0,0,1,9,8.0,0,0,1,1,48.0,4,1.8266094391804004,False,0.6106868714573921,58,2025-06-13 14:06:17.601311
ENT1258_ENT891,ENT1258,ENT891,Write_TreasuryManagementAmericassystemparameters,Write_CoreBankingAmericassystemparameters,8,2.1972245773362196,0,7,6,6.5,1,1,9,8.0,0,1,1,1,52.5,4,1.7919037725114637,False,0.5990837917046641,58,2025-06-13 14:06:17.601311
ENT1466_ENT1567,ENT1466,ENT1567,Admin_RiskEngineEuropeuseraccounts,Admin_RegReportingEuropedashboards,2,1.0986122886681096,0,8,8,8.0,0,1,8,7.5,0,1,1,1,60.0,5,0.9454946913790279,False,0.31610544798066464,58,2025-06-13 14:06:17.601311
