combination_id,entitlement_1,entitlement_2,entitlement_1_name,entitlement_2_name,frequency,log_frequency,is_rare,max_risk,min_risk,avg_risk,risk_difference,both_high_risk,max_criticality,avg_criticality,same_application,same_type,same_function,cross_function_high_risk,combined_risk_score,cluster,distance_to_center,is_anomaly,anomaly_score,batch_id,processing_timestamp
ENT092_ENT1422,ENT092,ENT1422,Admin_Customerinformation,Admin_RiskEngineAsiasystemparameters,2,1.0986122886681096,0,8,7,7.5,1,1,8,7.0,0,1,1,1,53.0,1,2.197747684687372,False,0.31164196009774914,130,2025-06-13 14:08:32.146174
ENT092_ENT1497,ENT092,ENT1497,Admin_Customerinformation,Execute_RiskEngineAmericasdashboards,2,1.0986122886681096,0,7,7,7.0,0,1,8,7.0,0,0,1,1,49.0,1,3.2919831899953964,False,0.4668052211302603,130,2025-06-13 14:08:32.146174
ENT092_ENT1872,ENT092,ENT1872,Admin_Customerinformation,Admin_CardManagementAmericassystemparameters,1,0.6931471805599453,1,8,7,7.5,1,1,8,7.0,0,1,1,1,53.0,1,3.028624128095651,False,0.4294607457695157,130,2025-06-13 14:08:32.146174
ENT092_ENT1918,ENT092,ENT1918,Admin_Customerinformation,Admin_WealthManagementAsiauseraccounts,1,0.6931471805599453,1,8,7,7.5,1,1,7,6.5,0,1,1,1,49.0,0,3.420842236412545,False,0.48507751238624197,130,2025-06-13 14:08:32.146174
ENT092_ENT221,ENT092,ENT221,Admin_Customerinformation,Execute_Tradingpositions,1,0.6931471805599453,1,8,7,7.5,1,1,9,7.5,0,0,1,1,57.0,1,2.660501777601621,False,0.3772607722861768,130,2025-06-13 14:08:32.146174
ENT092_ENT325,ENT092,ENT325,Admin_Customerinformation,Admin_Alertrules,3,1.3862943611198906,0,8,7,7.5,1,1,9,7.5,0,1,1,1,57.0,1,2.719709561508681,False,0.38565647210121945,130,2025-06-13 14:08:32.146174
ENT092_ENT709,ENT092,ENT709,Admin_Customerinformation,Execute_SharePointPortalreferencedata,1,0.6931471805599453,1,7,5,6.0,2,1,6,5.0,0,0,1,1,31.0,0,3.936789963344958,False,0.5582392142729024,130,2025-06-13 14:08:32.146174
ENT092_ENT886,ENT092,ENT886,Admin_Customerinformation,Write_CoreBankingAmericasreports,1,0.6931471805599453,1,7,7,7.0,0,1,9,7.5,0,0,1,1,52.5,1,3.6887697016034795,False,0.5230697901157948,130,2025-06-13 14:08:32.146174
ENT137_ENT1420,ENT137,ENT1420,Admin_Loanapplications,Execute_RiskEngineAsianotifications,2,1.0986122886681096,0,8,7,7.5,1,1,8,8.0,0,0,1,1,60.0,1,1.419069507728649,False,0.2012249203968165,130,2025-06-13 14:08:32.146174
ENT137_ENT1422,ENT137,ENT1422,Admin_Loanapplications,Admin_RiskEngineAsiasystemparameters,2,1.0986122886681096,0,8,8,8.0,0,1,8,8.0,0,1,1,1,64.0,1,2.00857950552901,False,0.2848177970913301,130,2025-06-13 14:08:32.146174
ENT137_ENT1497,ENT137,ENT1497,Admin_Loanapplications,Execute_RiskEngineAmericasdashboards,1,0.6931471805599453,1,8,7,7.5,1,1,8,8.0,0,0,1,1,60.0,1,2.5211559831751136,False,0.35750145377613046,130,2025-06-13 14:08:32.146174
ENT137_ENT1535,ENT137,ENT1535,Admin_Loanapplications,Execute_RegReportingAsiabatchjobs,2,1.0986122886681096,0,8,6,7.0,2,1,8,7.5,0,0,1,1,53.0,1,2.8756221135459956,False,0.40776496692948855,130,2025-06-13 14:08:32.146174
ENT137_ENT1556,ENT137,ENT1556,Admin_Loanapplications,Admin_RegReportingAsianotifications,3,1.3862943611198906,0,8,8,8.0,0,1,8,7.5,0,1,1,1,60.0,1,2.8141664320661937,False,0.39905051386968116,130,2025-06-13 14:08:32.146174
ENT137_ENT1872,ENT137,ENT1872,Admin_Loanapplications,Admin_CardManagementAmericassystemparameters,3,1.3862943611198906,0,8,8,8.0,0,1,8,8.0,0,1,1,1,64.0,1,2.799855268518169,False,0.3970211821631981,130,2025-06-13 14:08:32.146174
ENT137_ENT221,ENT137,ENT221,Admin_Loanapplications,Execute_Tradingpositions,2,1.0986122886681096,0,8,8,8.0,0,1,9,8.5,0,0,1,1,68.0,1,2.1317267311334387,False,0.30228014867761926,130,2025-06-13 14:08:32.146174
ENT137_ENT379,ENT137,ENT379,Admin_Loanapplications,Execute_PINinformation,2,1.0986122886681096,0,8,7,7.5,1,1,8,8.0,0,0,1,1,60.0,1,1.419069507728649,False,0.2012249203968165,130,2025-06-13 14:08:32.146174
ENT137_ENT411,ENT137,ENT411,Admin_Loanapplications,Admin_WealthManagementworkflowrules,1,0.6931471805599453,1,8,8,8.0,0,1,8,7.5,0,1,1,1,60.0,1,2.9081272387027406,False,0.41237421347205133,130,2025-06-13 14:08:32.146174
ENT137_ENT709,ENT137,ENT709,Admin_Loanapplications,Execute_SharePointPortalreferencedata,1,0.6931471805599453,1,8,5,6.5,3,1,8,6.0,0,0,1,1,42.0,0,2.1206505867408074,False,0.3007095446574693,130,2025-06-13 14:08:32.146174
