combination_id,entitlement_1,entitlement_2,entitlement_1_name,entitlement_2_name,frequency,log_frequency,is_rare,max_risk,min_risk,avg_risk,risk_difference,both_high_risk,max_criticality,avg_criticality,same_application,same_type,same_function,cross_function_high_risk,combined_risk_score,cluster,distance_to_center,is_anomaly,anomaly_score,batch_id,processing_timestamp
ENT1084_ENT1094,ENT1084,ENT1094,Execute_LoanOriginationSystemEuropeworkflowrules,Admin_LoanOriginationSystemEuropesystemparameters,2,1.0986122886681096,0,8,7,7.5,1,1,8,8.0,1,0,1,1,60.0,1,5.969352622111062,True,0.8859642918585356,1,2025-06-13 14:08:16.863156
ENT1084_ENT1278,ENT1084,ENT1278,Execute_LoanOriginationSystemEuropeworkflowrules,Write_TreasuryManagementAmericasnotifications,3,1.3862943611198906,0,7,6,6.5,1,1,8,7.5,0,0,1,1,49.0,0,2.2047977892370088,False,0.32723349342726904,1,2025-06-13 14:08:16.863156
ENT1084_ENT1368,ENT1084,ENT1368,Execute_LoanOriginationSystemEuropeworkflowrules,Admin_TradingPlatformAmericasconfigurationsettings,3,1.3862943611198906,0,8,7,7.5,1,1,9,8.5,0,0,1,1,64.0,1,2.359020247809819,False,0.35012300925048084,1,2025-06-13 14:08:16.863156
ENT1084_ENT1386,ENT1084,ENT1386,Execute_LoanOriginationSystemEuropeworkflowrules,Write_TradingPlatformAmericasnotifications,3,1.3862943611198906,0,7,7,7.0,0,1,9,8.5,0,0,1,1,59.5,1,2.5187917062030056,False,0.37383610109735943,1,2025-06-13 14:08:16.863156
ENT1084_ENT1489,ENT1084,ENT1489,Execute_LoanOriginationSystemEuropeworkflowrules,Read_RiskEngineAmericasreferencedata,5,1.791759469228055,0,7,5,6.0,2,1,8,8.0,0,0,1,1,48.0,0,2.168352187811124,False,0.32182428015026493,1,2025-06-13 14:08:16.863156
ENT1084_ENT1909,ENT1084,ENT1909,Execute_LoanOriginationSystemEuropeworkflowrules,Admin_WealthManagementAsiaworkflowrules,2,1.0986122886681096,0,8,7,7.5,1,1,8,7.5,0,0,1,1,56.0,1,1.5155749827698517,False,0.224939855520437,1,2025-06-13 14:08:16.863156
ENT1084_ENT1922,ENT1084,ENT1922,Execute_LoanOriginationSystemEuropeworkflowrules,Admin_WealthManagementEuropeauditlogs,1,0.6931471805599453,1,8,7,7.5,1,1,8,7.5,0,0,1,1,56.0,1,1.908153933382067,False,0.2832059614109473,1,2025-06-13 14:08:16.863156
ENT1084_ENT1977,ENT1084,ENT1977,Execute_LoanOriginationSystemEuropeworkflowrules,Admin_WealthManagementAmericasbatchjobs,3,1.3862943611198906,0,8,7,7.5,1,1,8,7.5,0,0,1,1,56.0,1,2.0188654681266303,False,0.2996376371201719,1,2025-06-13 14:08:16.863156
ENT1084_ENT1997,ENT1084,ENT1997,Execute_LoanOriginationSystemEuropeworkflowrules,Write_WealthManagementAmericasconfigurationsettings,3,1.3862943611198906,0,7,6,6.5,1,1,8,7.5,0,0,1,1,49.0,0,2.2047977892370088,False,0.32723349342726904,1,2025-06-13 14:08:16.863156
ENT1084_ENT312,ENT1084,ENT312,Execute_LoanOriginationSystemEuropeworkflowrules,Execute_Auditlogs,1,0.6931471805599453,1,7,6,6.5,1,1,8,7.5,0,1,1,1,49.0,1,2.738358548597873,False,0.4064239534747565,1,2025-06-13 14:08:16.863156
ENT1084_ENT405,ENT1084,ENT405,Execute_LoanOriginationSystemEuropeworkflowrules,Read_WealthManagementconfigurationsettings,5,1.791759469228055,0,7,4,5.5,3,1,8,7.5,0,0,1,1,42.0,0,1.713740683944887,False,0.25435137570134747,1,2025-06-13 14:08:16.863156
ENT1084_ENT554,ENT1084,ENT554,Execute_LoanOriginationSystemEuropeworkflowrules,Read_InternetBankingreferencedata,3,1.3862943611198906,0,7,4,5.5,3,1,8,7.5,0,0,1,1,42.0,0,1.1423364830580176,False,0.16954423659407614,1,2025-06-13 14:08:16.863156
ENT1084_ENT719,ENT1084,ENT719,Execute_LoanOriginationSystemEuropeworkflowrules,Write_SharePointPortalconfigurationsettings,5,1.791759469228055,0,7,4,5.5,3,1,8,6.0,0,0,1,1,36.0,0,2.0147081274143095,False,0.299020609503716,1,2025-06-13 14:08:16.863156
ENT1084_ENT838,ENT1084,ENT838,Execute_LoanOriginationSystemEuropeworkflowrules,Write_CoreBankingAsiaworkflowrules,1,0.6931471805599453,1,7,7,7.0,0,1,9,8.5,0,0,1,1,59.5,1,2.430955638082345,False,0.3607995752262109,1,2025-06-13 14:08:16.863156
ENT1094_ENT1278,ENT1094,ENT1278,Admin_LoanOriginationSystemEuropesystemparameters,Write_TreasuryManagementAmericasnotifications,1,0.6931471805599453,1,8,6,7.0,2,1,8,7.5,0,0,1,1,53.0,1,2.035558387818141,False,0.3021151806177297,1,2025-06-13 14:08:16.863156
ENT1094_ENT1368,ENT1094,ENT1368,Admin_LoanOriginationSystemEuropesystemparameters,Admin_TradingPlatformAmericasconfigurationsettings,2,1.0986122886681096,0,8,8,8.0,0,1,9,8.5,0,1,1,1,68.0,1,3.047618034264164,False,0.452323882422491,1,2025-06-13 14:08:16.863156
ENT1094_ENT1386,ENT1094,ENT1386,Admin_LoanOriginationSystemEuropesystemparameters,Write_TradingPlatformAmericasnotifications,2,1.0986122886681096,0,8,7,7.5,1,1,9,8.5,0,0,1,1,63.5,1,1.9279694956476827,False,0.2861469638448471,1,2025-06-13 14:08:16.863156
