combination_id,entitlement_1,entitlement_2,entitlement_1_name,entitlement_2_name,frequency,log_frequency,is_rare,max_risk,min_risk,avg_risk,risk_difference,both_high_risk,max_criticality,avg_criticality,same_application,same_type,same_function,cross_function_high_risk,combined_risk_score,cluster,distance_to_center,is_anomaly,anomaly_score,batch_id,processing_timestamp
ENT1013_ENT1038,ENT1013,ENT1038,Admin_PaymentHubAmericasbatchjobs,Execute_PaymentHubAmericassystemparameters,1,0.6931471805599453,1,8,7,7.5,1,1,8,8.0,1,0,1,1,60.0,3,5.597189349907737,True,0.8711103985898815,70,2025-06-13 14:06:48.221861
ENT1013_ENT1147,ENT1013,ENT1147,Admin_PaymentHubAmericasbatchjobs,Write_LoanOriginationSystemAmericasuseraccounts,2,1.0986122886681096,0,8,6,7.0,2,1,8,8.0,0,0,1,1,56.0,1,1.221088278636337,False,0.19004229276857781,70,2025-06-13 14:06:48.221861
ENT1013_ENT1475,ENT1013,ENT1475,Admin_PaymentHubAmericasbatchjobs,Write_RiskEngineEuropenotifications,2,1.0986122886681096,0,8,6,7.0,2,1,8,8.0,0,0,1,1,56.0,1,1.221088278636337,False,0.19004229276857781,70,2025-06-13 14:06:48.221861
ENT1013_ENT1571,ENT1013,ENT1571,Admin_PaymentHubAmericasbatchjobs,Admin_RegReportingEuropereports,2,1.0986122886681096,0,8,8,8.0,0,1,8,7.5,0,1,1,1,60.0,0,3.7492884389614014,True,0.5835150362647528,70,2025-06-13 14:06:48.221861
ENT1013_ENT1728,ENT1013,ENT1728,Admin_PaymentHubAmericasbatchjobs,Write_FraudDetectionAmericasreports,1,0.6931471805599453,1,8,7,7.5,1,1,9,8.5,0,0,1,1,63.5,3,3.0439819769877774,False,0.4737456940451635,70,2025-06-13 14:06:48.221861
ENT1013_ENT1800,ENT1013,ENT1800,Admin_PaymentHubAmericasbatchjobs,Write_CardManagementAsiaauditlogs,2,1.0986122886681096,0,8,6,7.0,2,1,8,8.0,0,0,1,1,56.0,1,1.221088278636337,False,0.19004229276857781,70,2025-06-13 14:06:48.221861
ENT1013_ENT1844,ENT1013,ENT1844,Admin_PaymentHubAmericasbatchjobs,Admin_CardManagementAmericasdashboards,1,0.6931471805599453,1,8,8,8.0,0,1,8,8.0,0,1,1,1,64.0,3,3.565488114556288,True,0.5549095409269673,70,2025-06-13 14:06:48.221861
ENT1013_ENT370,ENT1013,ENT370,Admin_PaymentHubAmericasbatchjobs,Write_Cardaccounts,2,1.0986122886681096,0,8,6,7.0,2,1,8,8.0,0,0,1,1,56.0,1,1.221088278636337,False,0.19004229276857781,70,2025-06-13 14:06:48.221861
ENT1013_ENT400,ENT1013,ENT400,Admin_PaymentHubAmericasbatchjobs,Write_Rewardsdata,2,1.0986122886681096,0,8,6,7.0,2,1,8,8.0,0,0,1,1,56.0,1,1.221088278636337,False,0.19004229276857781,70,2025-06-13 14:06:48.221861
ENT1013_ENT475,ENT1013,ENT475,Admin_PaymentHubAmericasbatchjobs,Read_ATMNetworkauditlogs,3,1.3862943611198906,0,8,5,6.5,3,1,8,8.0,0,0,1,1,52.0,1,1.3403906424388048,False,0.20860974210569838,70,2025-06-13 14:06:48.221861
ENT1013_ENT556,ENT1013,ENT556,Admin_PaymentHubAmericasbatchjobs,Write_InternetBankingnotifications,1,0.6931471805599453,1,8,6,7.0,2,1,8,7.5,0,0,1,1,53.0,3,1.7934958964611316,False,0.27912811726859416,70,2025-06-13 14:06:48.221861
ENT1013_ENT699,ENT1013,ENT699,Admin_PaymentHubAmericasbatchjobs,Execute_SharePointPortaluseraccounts,3,1.3862943611198906,0,8,5,6.5,3,1,8,6.0,0,0,1,1,42.0,5,2.891496095943589,False,0.4500137764144116,70,2025-06-13 14:06:48.221861
ENT1013_ENT790,ENT1013,ENT790,Admin_PaymentHubAmericasbatchjobs,Read_ActiveDirectoryauditlogs,3,1.3862943611198906,0,8,5,6.5,3,1,8,8.0,0,0,1,1,52.0,1,1.3403906424388048,False,0.20860974210569838,70,2025-06-13 14:06:48.221861
ENT1013_ENT799,ENT1013,ENT799,Admin_PaymentHubAmericasbatchjobs,Read_ActiveDirectorybatchjobs,2,1.0986122886681096,0,8,5,6.5,3,1,8,8.0,0,0,1,1,52.0,1,1.6076561697667735,False,0.2502052225308585,70,2025-06-13 14:06:48.221861
ENT1038_ENT1147,ENT1038,ENT1147,Execute_PaymentHubAmericassystemparameters,Write_LoanOriginationSystemAmericasuseraccounts,1,0.6931471805599453,1,7,6,6.5,1,1,8,8.0,0,0,1,1,52.0,3,1.3578130813607816,False,0.21132125796927753,70,2025-06-13 14:06:48.221861
ENT1038_ENT1475,ENT1038,ENT1475,Execute_PaymentHubAmericassystemparameters,Write_RiskEngineEuropenotifications,1,0.6931471805599453,1,7,6,6.5,1,1,8,8.0,0,0,1,1,52.0,3,1.3578130813607816,False,0.21132125796927753,70,2025-06-13 14:06:48.221861
ENT1038_ENT1571,ENT1038,ENT1571,Execute_PaymentHubAmericassystemparameters,Admin_RegReportingEuropereports,2,1.0986122886681096,0,8,7,7.5,1,1,8,7.5,0,0,1,1,56.0,1,2.6980287656677002,False,0.4199037707213707,70,2025-06-13 14:06:48.221861
ENT1038_ENT1728,ENT1038,ENT1728,Execute_PaymentHubAmericassystemparameters,Write_FraudDetectionAmericasreports,2,1.0986122886681096,0,7,7,7.0,0,1,9,8.5,0,0,1,1,59.5,0,2.4178316581815307,False,0.3762957026845028,70,2025-06-13 14:06:48.221861
ENT1038_ENT1800,ENT1038,ENT1800,Execute_PaymentHubAmericassystemparameters,Write_CardManagementAsiaauditlogs,1,0.6931471805599453,1,7,6,6.5,1,1,8,8.0,0,0,1,1,52.0,3,1.3578130813607816,False,0.21132125796927753,70,2025-06-13 14:06:48.221861
ENT1038_ENT1844,ENT1038,ENT1844,Execute_PaymentHubAmericassystemparameters,Admin_CardManagementAmericasdashboards,1,0.6931471805599453,1,8,7,7.5,1,1,8,8.0,0,0,1,1,60.0,3,1.5827189286022625,False,0.2463241513838001,70,2025-06-13 14:06:48.221861
ENT1038_ENT370,ENT1038,ENT370,Execute_PaymentHubAmericassystemparameters,Write_Cardaccounts,2,1.0986122886681096,0,7,6,6.5,1,1,8,8.0,0,0,1,1,52.0,1,1.887307254923346,False,0.2937283111790655,70,2025-06-13 14:06:48.221861
ENT1038_ENT400,ENT1038,ENT400,Execute_PaymentHubAmericassystemparameters,Write_Rewardsdata,2,1.0986122886681096,0,7,6,6.5,1,1,8,8.0,0,0,1,1,52.0,1,1.887307254923346,False,0.2937283111790655,70,2025-06-13 14:06:48.221861
ENT1038_ENT475,ENT1038,ENT475,Execute_PaymentHubAmericassystemparameters,Read_ATMNetworkauditlogs,2,1.0986122886681096,0,7,5,6.0,2,1,8,8.0,0,0,1,1,48.0,1,1.9757974205540685,False,0.3075003490064322,70,2025-06-13 14:06:48.221861
ENT1038_ENT556,ENT1038,ENT556,Execute_PaymentHubAmericassystemparameters,Write_InternetBankingnotifications,1,0.6931471805599453,1,7,6,6.5,1,1,8,7.5,0,0,1,1,49.0,3,1.6104529024248684,False,0.2506404879378761,70,2025-06-13 14:06:48.221861
ENT1038_ENT699,ENT1038,ENT699,Execute_PaymentHubAmericassystemparameters,Execute_SharePointPortaluseraccounts,2,1.0986122886681096,0,7,5,6.0,2,1,8,6.0,0,1,1,1,38.0,5,2.876111106377409,False,0.4476193560088348,70,2025-06-13 14:06:48.221861
ENT1038_ENT790,ENT1038,ENT790,Execute_PaymentHubAmericassystemparameters,Read_ActiveDirectoryauditlogs,2,1.0986122886681096,0,7,5,6.0,2,1,8,8.0,0,0,1,1,48.0,1,1.9757974205540685,False,0.3075003490064322,70,2025-06-13 14:06:48.221861
ENT1038_ENT799,ENT1038,ENT799,Execute_PaymentHubAmericassystemparameters,Read_ActiveDirectorybatchjobs,2,1.0986122886681096,0,7,5,6.0,2,1,8,8.0,0,0,1,1,48.0,1,1.9757974205540685,False,0.3075003490064322,70,2025-06-13 14:06:48.221861
ENT1147_ENT1475,ENT1147,ENT1475,Write_LoanOriginationSystemAmericasuseraccounts,Write_RiskEngineEuropenotifications,3,1.3862943611198906,0,6,6,6.0,0,1,8,8.0,0,1,1,1,48.0,4,0.49068493018491716,False,0.07636703323650776,70,2025-06-13 14:06:48.221861
ENT1147_ENT1571,ENT1147,ENT1571,Write_LoanOriginationSystemAmericasuseraccounts,Admin_RegReportingEuropereports,3,1.3862943611198906,0,8,6,7.0,2,1,8,7.5,0,0,1,1,52.0,1,0.788365877081627,False,0.12269617311241363,70,2025-06-13 14:06:48.221861
ENT1147_ENT1728,ENT1147,ENT1728,Write_LoanOriginationSystemAmericasuseraccounts,Write_FraudDetectionAmericasreports,4,1.6094379124341003,0,7,6,6.5,1,1,9,8.5,0,1,1,1,55.5,0,1.6265103046740557,False,0.2531395583103726,70,2025-06-13 14:06:48.221861
ENT1147_ENT1800,ENT1147,ENT1800,Write_LoanOriginationSystemAmericasuseraccounts,Write_CardManagementAsiaauditlogs,3,1.3862943611198906,0,6,6,6.0,0,1,8,8.0,0,1,1,1,48.0,4,0.49068493018491716,False,0.07636703323650776,70,2025-06-13 14:06:48.221861
ENT1147_ENT1844,ENT1147,ENT1844,Write_LoanOriginationSystemAmericasuseraccounts,Admin_CardManagementAmericasdashboards,4,1.6094379124341003,0,8,6,7.0,2,1,8,8.0,0,0,1,1,56.0,1,1.3221362869253386,False,0.2057687521171072,70,2025-06-13 14:06:48.221861
ENT1147_ENT370,ENT1147,ENT370,Write_LoanOriginationSystemAmericasuseraccounts,Write_Cardaccounts,3,1.3862943611198906,0,6,6,6.0,0,1,8,8.0,0,1,1,1,48.0,4,0.49068493018491716,False,0.07636703323650776,70,2025-06-13 14:06:48.221861
ENT1147_ENT400,ENT1147,ENT400,Write_LoanOriginationSystemAmericasuseraccounts,Write_Rewardsdata,3,1.3862943611198906,0,6,6,6.0,0,1,8,8.0,0,1,1,1,48.0,4,0.49068493018491716,False,0.07636703323650776,70,2025-06-13 14:06:48.221861
ENT1147_ENT475,ENT1147,ENT475,Write_LoanOriginationSystemAmericasuseraccounts,Read_ATMNetworkauditlogs,5,1.791759469228055,0,6,5,5.5,1,1,8,8.0,0,0,1,1,44.0,2,0.5988915728566793,False,0.09320761620328291,70,2025-06-13 14:06:48.221861
ENT1147_ENT556,ENT1147,ENT556,Write_LoanOriginationSystemAmericasuseraccounts,Write_InternetBankingnotifications,2,1.0986122886681096,0,6,6,6.0,0,1,8,7.5,0,1,1,1,45.0,4,1.2029785695203417,False,0.1872238146110287,70,2025-06-13 14:06:48.221861
ENT1147_ENT699,ENT1147,ENT699,Write_LoanOriginationSystemAmericasuseraccounts,Execute_SharePointPortaluseraccounts,4,1.6094379124341003,0,6,5,5.5,1,1,8,6.0,0,0,1,1,34.0,5,0.727805442351548,False,0.1132709382063683,70,2025-06-13 14:06:48.221861
ENT1147_ENT790,ENT1147,ENT790,Write_LoanOriginationSystemAmericasuseraccounts,Read_ActiveDirectoryauditlogs,5,1.791759469228055,0,6,5,5.5,1,1,8,8.0,0,0,1,1,44.0,2,0.5988915728566793,False,0.09320761620328291,70,2025-06-13 14:06:48.221861
ENT1147_ENT799,ENT1147,ENT799,Write_LoanOriginationSystemAmericasuseraccounts,Read_ActiveDirectorybatchjobs,5,1.791759469228055,0,6,5,5.5,1,1,8,8.0,0,0,1,1,44.0,2,0.5988915728566793,False,0.09320761620328291,70,2025-06-13 14:06:48.221861
ENT1475_ENT1571,ENT1475,ENT1571,Write_RiskEngineEuropenotifications,Admin_RegReportingEuropereports,2,1.0986122886681096,0,8,6,7.0,2,1,8,7.5,0,0,1,1,52.0,1,1.1871950311546724,False,0.18476736664449644,70,2025-06-13 14:06:48.221861
ENT1475_ENT1728,ENT1475,ENT1728,Write_RiskEngineEuropenotifications,Write_FraudDetectionAmericasreports,3,1.3862943611198906,0,7,6,6.5,1,1,9,8.5,0,1,1,1,55.5,0,1.5333753342738645,False,0.23864463306913442,70,2025-06-13 14:06:48.221861
ENT1475_ENT1800,ENT1475,ENT1800,Write_RiskEngineEuropenotifications,Write_CardManagementAsiaauditlogs,3,1.3862943611198906,0,6,6,6.0,0,1,8,8.0,0,1,1,1,48.0,4,0.49068493018491716,False,0.07636703323650776,70,2025-06-13 14:06:48.221861
ENT1475_ENT1844,ENT1475,ENT1844,Write_RiskEngineEuropenotifications,Admin_CardManagementAmericasdashboards,2,1.0986122886681096,0,8,6,7.0,2,1,8,8.0,0,0,1,1,56.0,1,1.221088278636337,False,0.19004229276857781,70,2025-06-13 14:06:48.221861
ENT1475_ENT370,ENT1475,ENT370,Write_RiskEngineEuropenotifications,Write_Cardaccounts,3,1.3862943611198906,0,6,6,6.0,0,1,8,8.0,0,1,1,1,48.0,4,0.49068493018491716,False,0.07636703323650776,70,2025-06-13 14:06:48.221861
ENT1475_ENT400,ENT1475,ENT400,Write_RiskEngineEuropenotifications,Write_Rewardsdata,2,1.0986122886681096,0,6,6,6.0,0,1,8,8.0,0,1,1,1,48.0,4,1.0867398821872283,False,0.16913317609153994,70,2025-06-13 14:06:48.221861
ENT1475_ENT475,ENT1475,ENT475,Write_RiskEngineEuropenotifications,Read_ATMNetworkauditlogs,4,1.6094379124341003,0,6,5,5.5,1,1,8,8.0,0,0,1,1,44.0,2,0.7105773529648108,False,0.11058966964916465,70,2025-06-13 14:06:48.221861
ENT1475_ENT556,ENT1475,ENT556,Write_RiskEngineEuropenotifications,Write_InternetBankingnotifications,1,0.6931471805599453,1,6,6,6.0,0,1,8,7.5,0,1,1,1,45.0,3,3.2996540195609705,False,0.5135368393845461,70,2025-06-13 14:06:48.221861
ENT1475_ENT699,ENT1475,ENT699,Write_RiskEngineEuropenotifications,Execute_SharePointPortaluseraccounts,2,1.0986122886681096,0,6,5,5.5,1,1,8,6.0,0,0,1,1,34.0,5,1.7374881023642883,False,0.27041142594553835,70,2025-06-13 14:06:48.221861
ENT1475_ENT790,ENT1475,ENT790,Write_RiskEngineEuropenotifications,Read_ActiveDirectoryauditlogs,3,1.3862943611198906,0,6,5,5.5,1,1,8,8.0,0,0,1,1,44.0,2,1.489232832875371,False,0.23177457926460662,70,2025-06-13 14:06:48.221861
ENT1475_ENT799,ENT1475,ENT799,Write_RiskEngineEuropenotifications,Read_ActiveDirectorybatchjobs,4,1.6094379124341003,0,6,5,5.5,1,1,8,8.0,0,0,1,1,44.0,2,0.7105773529648108,False,0.11058966964916465,70,2025-06-13 14:06:48.221861
