combination_id,entitlement_1,entitlement_2,entitlement_1_name,entitlement_2_name,frequency,log_frequency,is_rare,max_risk,min_risk,avg_risk,risk_difference,both_high_risk,max_criticality,avg_criticality,same_application,same_type,same_function,cross_function_high_risk,combined_risk_score,cluster,distance_to_center,is_anomaly,anomaly_score,batch_id,processing_timestamp
ENT012_ENT1077,ENT012,ENT1077,Read_Accountbalances,Write_LoanOriginationSystemAsiabatchjobs,3,1.3862943611198906,0,6,6,6.0,0,1,9,8.5,0,0,1,1,51.0,0,2.15309100501919,False,0.5084507814761928,6,2025-06-13 14:08:01.314692
ENT012_ENT1310,ENT012,ENT1310,Read_Accountbalances,Read_TradingPlatformAsiabatchjobs,5,1.791759469228055,0,6,6,6.0,0,1,9,9.0,0,1,1,1,54.0,0,1.76091411660387,False,0.4158385115225158,6,2025-06-13 14:08:01.314692
ENT012_ENT1342,ENT012,ENT1342,Read_Accountbalances,Read_TradingPlatformEuropesystemparameters,5,1.791759469228055,0,6,6,6.0,0,1,9,9.0,0,1,1,1,54.0,0,1.76091411660387,False,0.4158385115225158,6,2025-06-13 14:08:01.314692
ENT012_ENT1364,ENT012,ENT1364,Read_Accountbalances,Execute_TradingPlatformAmericasworkflowrules,4,1.6094379124341003,0,8,6,7.0,2,1,9,9.0,0,0,1,1,63.0,3,0.8184427104325223,False,0.1932746153055432,6,2025-06-13 14:08:01.314692
ENT012_ENT1403,ENT012,ENT1403,Read_Accountbalances,Execute_RiskEngineAsiadashboards,1,0.6931471805599453,1,7,6,6.5,1,1,9,8.5,0,0,1,1,55.0,1,1.1572004859357143,False,0.2732720029144332,6,2025-06-13 14:08:01.314692
ENT012_ENT1525,ENT012,ENT1525,Read_Accountbalances,Read_RegReportingAsiabatchjobs,4,1.6094379124341003,0,6,4,5.0,2,1,9,8.0,0,1,1,1,41.0,0,3.1289695837606573,False,0.7389037557491279,6,2025-06-13 14:08:01.314692
ENT012_ENT1596,ENT012,ENT1596,Read_Accountbalances,Write_RegReportingEuropenotifications,4,1.6094379124341003,0,6,6,6.0,0,1,9,8.0,0,0,1,1,48.0,0,1.8289038116430827,False,0.43189422560725677,6,2025-06-13 14:08:01.314692
ENT012_ENT1657,ENT012,ENT1657,Read_Accountbalances,Admin_FraudDetectionAsiaconfigurationsettings,3,1.3862943611198906,0,8,6,7.0,2,1,9,9.0,0,0,1,1,63.0,3,1.1117554869744226,False,0.26254020143359075,6,2025-06-13 14:08:01.314692
ENT012_ENT1683,ENT012,ENT1683,Read_Accountbalances,Read_FraudDetectionEuropereports,4,1.6094379124341003,0,6,6,6.0,0,1,9,9.0,0,1,1,1,54.0,0,1.9399766396822462,False,0.4581239883463288,6,2025-06-13 14:08:01.314692
ENT012_ENT1688,ENT012,ENT1688,Read_Accountbalances,Read_FraudDetectionEuropebatchjobs,5,1.791759469228055,0,6,6,6.0,0,1,9,9.0,0,1,1,1,54.0,0,1.76091411660387,False,0.4158385115225158,6,2025-06-13 14:08:01.314692
