combination_id,entitlement_1,entitlement_2,entitlement_1_name,entitlement_2_name,frequency,log_frequency,is_rare,max_risk,min_risk,avg_risk,risk_difference,both_high_risk,max_criticality,avg_criticality,same_application,same_type,same_function,cross_function_high_risk,combined_risk_score,cluster,distance_to_center,is_anomaly,anomaly_score,batch_id,processing_timestamp
ENT1047_ENT1087,ENT1047,ENT1087,Admin_LoanOriginationSystemAsiabatchjobs,Execute_LoanOriginationSystemEuropedashboards,3,1.3862943611198906,0,8,7,7.5,1,1,8,8.0,0,0,1,1,60.0,3,1.5684030228756098,False,0.4200500398786724,1,2025-06-13 14:08:00.669916
ENT1047_ENT1144,ENT1047,ENT1144,Admin_LoanOriginationSystemAsiabatchjobs,Read_LoanOriginationSystemAmericasconfigurationsettings,2,1.0986122886681096,0,8,5,6.5,3,1,8,8.0,0,0,1,1,52.0,0,1.877824586071603,False,0.5029193904627449,1,2025-06-13 14:08:00.669916
ENT1047_ENT1178,ENT1047,ENT1178,Admin_LoanOriginationSystemAsiabatchjobs,Admin_TreasuryManagementAsiareferencedata,1,0.6931471805599453,1,8,8,8.0,0,1,8,7.5,0,1,1,1,60.0,2,1.4825136778137513,False,0.3970471367395039,1,2025-06-13 14:08:00.669916
ENT1047_ENT1278,ENT1047,ENT1278,Admin_LoanOriginationSystemAsiabatchjobs,Write_TreasuryManagementAmericasnotifications,3,1.3862943611198906,0,8,6,7.0,2,1,8,7.5,0,0,1,1,53.0,3,1.564131951383818,False,0.4189061605796116,1,2025-06-13 14:08:00.669916
ENT1047_ENT1292,ENT1047,ENT1292,Admin_LoanOriginationSystemAsiabatchjobs,Admin_TradingPlatformAsianotifications,1,0.6931471805599453,1,8,8,8.0,0,1,9,8.5,0,1,1,1,68.0,2,2.8687484710730526,False,0.7683088416054948,1,2025-06-13 14:08:00.669916
ENT1047_ENT1382,ENT1047,ENT1382,Admin_LoanOriginationSystemAsiabatchjobs,Read_TradingPlatformAmericasuseraccounts,3,1.3862943611198906,0,8,6,7.0,2,1,9,8.5,0,0,1,1,59.0,3,1.2264975069274546,False,0.3284808299791382,1,2025-06-13 14:08:00.669916
ENT1047_ENT1489,ENT1047,ENT1489,Admin_LoanOriginationSystemAsiabatchjobs,Read_RiskEngineAmericasreferencedata,2,1.0986122886681096,0,8,5,6.5,3,1,8,8.0,0,0,1,1,52.0,0,1.877824586071603,False,0.5029193904627449,1,2025-06-13 14:08:00.669916
ENT1047_ENT1524,ENT1047,ENT1524,Admin_LoanOriginationSystemAsiabatchjobs,Read_RegReportingAsiaauditlogs,2,1.0986122886681096,0,8,4,6.0,4,1,8,7.5,0,0,1,1,46.0,0,1.1550802641660833,False,0.3093538484365133,1,2025-06-13 14:08:00.669916
ENT1047_ENT185,ENT1047,ENT185,Admin_LoanOriginationSystemAsiabatchjobs,Read_Cashpositions,2,1.0986122886681096,0,8,4,6.0,4,1,8,7.5,0,0,1,1,46.0,0,1.1550802641660833,False,0.3093538484365133,1,2025-06-13 14:08:00.669916
ENT1047_ENT1863,ENT1047,ENT1863,Admin_LoanOriginationSystemAsiabatchjobs,Write_CardManagementAmericasreferencedata,2,1.0986122886681096,0,8,6,7.0,2,1,8,8.0,0,0,1,1,56.0,3,1.4228151292304076,False,0.381058658429155,1,2025-06-13 14:08:00.669916
