combination_id,entitlement_1,entitlement_2,entitlement_1_name,entitlement_2_name,frequency,log_frequency,is_rare,max_risk,min_risk,avg_risk,risk_difference,both_high_risk,max_criticality,avg_criticality,same_application,same_type,same_function,cross_function_high_risk,combined_risk_score,cluster,distance_to_center,is_anomaly,anomaly_score,batch_id,processing_timestamp
ENT1139_ENT1236,ENT1139,ENT1236,Execute_LoanOriginationSystemAmericassystemparameters,Admin_TreasuryManagementEuropenotifications,1,0.6931471805599453,1,8,7,7.5,1,1,8,7.5,0,0,1,1,56.0,0,1.5266590385304066,False,0.1463047294910533,100,2025-06-13 14:06:37.459309
ENT1139_ENT1250,ENT1139,ENT1250,Execute_LoanOriginationSystemAmericassystemparameters,Execute_TreasuryManagementAmericassystemparameters,1,0.6931471805599453,1,7,6,6.5,1,1,8,7.5,0,1,1,1,49.0,0,2.652706569323444,False,0.2542175477620746,100,2025-06-13 14:06:37.459309
ENT1139_ENT1291,ENT1139,ENT1291,Execute_LoanOriginationSystemAmericassystemparameters,Execute_TradingPlatformAsiasystemparameters,1,0.6931471805599453,1,8,7,7.5,1,1,9,8.5,0,1,1,1,64.0,0,2.230462667965187,False,0.2137525334999942,100,2025-06-13 14:06:37.459309
ENT1139_ENT1331,ENT1139,ENT1331,Execute_LoanOriginationSystemAmericassystemparameters,Read_TradingPlatformEuropereports,4,1.6094379124341003,0,7,6,6.5,1,1,9,8.5,0,0,1,1,55.0,1,3.4144451796425006,False,0.3272174504992965,100,2025-06-13 14:06:37.459309
ENT1139_ENT1439,ENT1139,ENT1439,Execute_LoanOriginationSystemAmericassystemparameters,Execute_RiskEngineAsiareferencedata,2,1.0986122886681096,0,7,7,7.0,0,1,8,8.0,0,1,1,1,56.0,0,3.084919089954587,False,0.2956378874172583,100,2025-06-13 14:06:37.459309
ENT1139_ENT1617,ENT1139,ENT1617,Execute_LoanOriginationSystemAmericassystemparameters,Execute_RegReportingAmericasbatchjobs,1,0.6931471805599453,1,7,6,6.5,1,1,8,7.5,0,1,1,1,49.0,0,2.652706569323444,False,0.2542175477620746,100,2025-06-13 14:06:37.459309
ENT1139_ENT1885,ENT1139,ENT1885,Execute_LoanOriginationSystemAmericassystemparameters,Execute_WealthManagementAsiadashboards,2,1.0986122886681096,0,7,6,6.5,1,1,8,7.5,0,1,1,1,49.0,1,1.9824339534822368,False,0.18998313046853996,100,2025-06-13 14:06:37.459309
ENT1139_ENT199,ENT1139,ENT199,Execute_LoanOriginationSystemAmericassystemparameters,Admin_FXpositions,1,0.6931471805599453,1,8,7,7.5,1,1,8,7.5,0,0,1,1,56.0,0,1.5266590385304066,False,0.1463047294910533,100,2025-06-13 14:06:37.459309
ENT1139_ENT246,ENT1139,ENT246,Execute_LoanOriginationSystemAmericassystemparameters,Read_Exposurereports,4,1.6094379124341003,0,7,5,6.0,2,1,8,8.0,0,0,1,1,48.0,1,2.667507971390497,False,0.25563601453877743,100,2025-06-13 14:06:37.459309
ENT1139_ENT251,ENT1139,ENT251,Execute_LoanOriginationSystemAmericassystemparameters,Execute_Riskmodels,4,1.6094379124341003,0,7,7,7.0,0,1,8,8.0,0,1,1,1,56.0,1,3.8767534463966364,True,0.37152196395113524,100,2025-06-13 14:06:37.459309
ENT1139_ENT485,ENT1139,ENT485,Execute_LoanOriginationSystemAmericassystemparameters,Write_MobileBankingreports,2,1.0986122886681096,0,7,6,6.5,1,1,8,7.5,0,0,1,1,49.0,1,1.304902928438159,False,0.12505311607823405,100,2025-06-13 14:06:37.459309
ENT1139_ENT608,ENT1139,ENT608,Execute_LoanOriginationSystemAmericassystemparameters,Write_HRSystembatchjobs,2,1.0986122886681096,0,7,5,6.0,2,1,8,6.5,0,0,1,1,40.5,1,1.953631682406232,False,0.1872229146167023,100,2025-06-13 14:06:37.459309
ENT1139_ENT897,ENT1139,ENT897,Execute_LoanOriginationSystemAmericassystemparameters,Execute_CoreBankingAmericasreports,1,0.6931471805599453,1,8,7,7.5,1,1,9,8.5,0,1,1,1,64.0,0,2.230462667965187,False,0.2137525334999942,100,2025-06-13 14:06:37.459309
ENT1139_ENT972,ENT1139,ENT972,Execute_LoanOriginationSystemAmericassystemparameters,Admin_PaymentHubEuropenotifications,1,0.6931471805599453,1,8,7,7.5,1,1,8,8.0,0,0,1,1,60.0,0,1.4467287493245724,False,0.13864474841783456,100,2025-06-13 14:06:37.459309
ENT1236_ENT1250,ENT1236,ENT1250,Admin_TreasuryManagementEuropenotifications,Execute_TreasuryManagementAmericassystemparameters,2,1.0986122886681096,0,8,6,7.0,2,1,7,7.0,0,0,1,1,49.0,1,2.74282377723201,False,0.2628537745768344,100,2025-06-13 14:06:37.459309
ENT1236_ENT1291,ENT1236,ENT1291,Admin_TreasuryManagementEuropenotifications,Execute_TradingPlatformAsiasystemparameters,1,0.6931471805599453,1,8,8,8.0,0,1,9,8.0,0,0,1,1,64.0,0,2.868268160742318,False,0.27487552018763867,100,2025-06-13 14:06:37.459309
ENT1236_ENT1331,ENT1236,ENT1331,Admin_TreasuryManagementEuropenotifications,Read_TradingPlatformEuropereports,3,1.3862943611198906,0,8,6,7.0,2,1,9,8.0,0,0,1,1,55.0,1,3.2137536762177157,False,0.30798452724750053,100,2025-06-13 14:06:37.459309
ENT1236_ENT1439,ENT1236,ENT1439,Admin_TreasuryManagementEuropenotifications,Execute_RiskEngineAsiareferencedata,2,1.0986122886681096,0,8,7,7.5,1,1,8,7.5,0,0,1,1,56.0,0,2.2892855838070774,False,0.2193897259397725,100,2025-06-13 14:06:37.459309
ENT1236_ENT1617,ENT1236,ENT1617,Admin_TreasuryManagementEuropenotifications,Execute_RegReportingAmericasbatchjobs,2,1.0986122886681096,0,8,6,7.0,2,1,7,7.0,0,0,1,1,49.0,1,2.74282377723201,False,0.2628537745768344,100,2025-06-13 14:06:37.459309
ENT1236_ENT1885,ENT1236,ENT1885,Admin_TreasuryManagementEuropenotifications,Execute_WealthManagementAsiadashboards,2,1.0986122886681096,0,8,6,7.0,2,1,7,7.0,0,0,1,1,49.0,1,2.74282377723201,False,0.2628537745768344,100,2025-06-13 14:06:37.459309
ENT1236_ENT199,ENT1236,ENT199,Admin_TreasuryManagementEuropenotifications,Admin_FXpositions,1,0.6931471805599453,1,8,8,8.0,0,1,7,7.0,0,1,1,1,56.0,0,3.6749785215556567,False,0.35218521288106375,100,2025-06-13 14:06:37.459309
ENT1236_ENT246,ENT1236,ENT246,Admin_TreasuryManagementEuropenotifications,Read_Exposurereports,2,1.0986122886681096,0,8,5,6.5,3,1,8,7.5,0,0,1,1,48.0,1,2.844238858422582,False,0.27257271354449203,100,2025-06-13 14:06:37.459309
ENT1236_ENT251,ENT1236,ENT251,Admin_TreasuryManagementEuropenotifications,Execute_Riskmodels,2,1.0986122886681096,0,8,7,7.5,1,1,8,7.5,0,0,1,1,56.0,0,2.2892855838070774,False,0.2193897259397725,100,2025-06-13 14:06:37.459309
ENT1236_ENT485,ENT1236,ENT485,Admin_TreasuryManagementEuropenotifications,Write_MobileBankingreports,1,0.6931471805599453,1,8,6,7.0,2,1,7,7.0,0,0,1,1,49.0,0,2.92371145794373,False,0.28018883271808626,100,2025-06-13 14:06:37.459309
ENT1236_ENT608,ENT1236,ENT608,Admin_TreasuryManagementEuropenotifications,Write_HRSystembatchjobs,2,1.0986122886681096,0,8,5,6.5,3,1,7,6.0,0,0,1,1,40.5,1,3.624753929658257,False,0.34737202595071875,100,2025-06-13 14:06:37.459309
ENT1236_ENT897,ENT1236,ENT897,Admin_TreasuryManagementEuropenotifications,Execute_CoreBankingAmericasreports,1,0.6931471805599453,1,8,8,8.0,0,1,9,8.0,0,0,1,1,64.0,0,2.868268160742318,False,0.27487552018763867,100,2025-06-13 14:06:37.459309
ENT1236_ENT972,ENT1236,ENT972,Admin_TreasuryManagementEuropenotifications,Admin_PaymentHubEuropenotifications,1,0.6931471805599453,1,8,8,8.0,0,1,8,7.5,0,1,1,1,60.0,0,2.9852164573077538,False,0.2860830579951088,100,2025-06-13 14:06:37.459309
ENT1250_ENT1291,ENT1250,ENT1291,Execute_TreasuryManagementAmericassystemparameters,Execute_TradingPlatformAsiasystemparameters,1,0.6931471805599453,1,8,6,7.0,2,1,9,8.0,0,1,1,1,57.0,0,2.055936584798264,False,0.19702712806077494,100,2025-06-13 14:06:37.459309
ENT1250_ENT1331,ENT1250,ENT1331,Execute_TreasuryManagementAmericassystemparameters,Read_TradingPlatformEuropereports,2,1.0986122886681096,0,6,6,6.0,0,1,9,8.0,0,0,1,1,48.0,1,2.61611117522184,False,0.2507104914387402,100,2025-06-13 14:06:37.459309
ENT1250_ENT1439,ENT1250,ENT1439,Execute_TreasuryManagementAmericassystemparameters,Execute_RiskEngineAsiareferencedata,2,1.0986122886681096,0,7,6,6.5,1,1,8,7.5,0,1,1,1,49.0,1,1.9824339534822368,False,0.18998313046853996,100,2025-06-13 14:06:37.459309
ENT1250_ENT1617,ENT1250,ENT1617,Execute_TreasuryManagementAmericassystemparameters,Execute_RegReportingAmericasbatchjobs,3,1.3862943611198906,0,6,6,6.0,0,1,7,7.0,0,1,1,1,42.0,1,2.7875649682158485,False,0.26714146926097243,100,2025-06-13 14:06:37.459309
ENT1250_ENT1885,ENT1250,ENT1885,Execute_TreasuryManagementAmericassystemparameters,Execute_WealthManagementAsiadashboards,2,1.0986122886681096,0,6,6,6.0,0,1,7,7.0,0,1,1,1,42.0,1,2.7583485694425023,False,0.26434156619725235,100,2025-06-13 14:06:37.459309
ENT1250_ENT199,ENT1250,ENT199,Execute_TreasuryManagementAmericassystemparameters,Admin_FXpositions,1,0.6931471805599453,1,8,6,7.0,2,1,7,7.0,0,0,1,1,49.0,0,2.92371145794373,False,0.28018883271808626,100,2025-06-13 14:06:37.459309
ENT1250_ENT246,ENT1250,ENT246,Execute_TreasuryManagementAmericassystemparameters,Read_Exposurereports,1,0.6931471805599453,1,6,5,5.5,1,1,8,7.5,0,0,1,1,41.0,1,3.3959271286820387,False,0.3254428051016707,100,2025-06-13 14:06:37.459309
ENT1250_ENT251,ENT1250,ENT251,Execute_TreasuryManagementAmericassystemparameters,Execute_Riskmodels,2,1.0986122886681096,0,7,6,6.5,1,1,8,7.5,0,1,1,1,49.0,1,1.9824339534822368,False,0.18998313046853996,100,2025-06-13 14:06:37.459309
ENT1250_ENT485,ENT1250,ENT485,Execute_TreasuryManagementAmericassystemparameters,Write_MobileBankingreports,1,0.6931471805599453,1,6,6,6.0,0,1,7,7.0,0,0,1,1,42.0,1,3.691976657727372,False,0.35381419987271634,100,2025-06-13 14:06:37.459309
ENT1250_ENT608,ENT1250,ENT608,Execute_TreasuryManagementAmericassystemparameters,Write_HRSystembatchjobs,2,1.0986122886681096,0,6,5,5.5,1,1,7,6.0,0,0,1,1,33.5,1,3.1316663162138525,False,0.3001178270237487,100,2025-06-13 14:06:37.459309
ENT1250_ENT897,ENT1250,ENT897,Execute_TreasuryManagementAmericassystemparameters,Execute_CoreBankingAmericasreports,2,1.0986122886681096,0,8,6,7.0,2,1,9,8.0,0,1,1,1,57.0,0,2.6715194000815856,False,0.25602044287196135,100,2025-06-13 14:06:37.459309
ENT1250_ENT972,ENT1250,ENT972,Execute_TreasuryManagementAmericassystemparameters,Admin_PaymentHubEuropenotifications,1,0.6931471805599453,1,8,6,7.0,2,1,8,7.5,0,0,1,1,53.0,0,1.7796878114749224,False,0.17055330448048647,100,2025-06-13 14:06:37.459309
ENT1291_ENT1331,ENT1291,ENT1331,Execute_TradingPlatformAsiasystemparameters,Read_TradingPlatformEuropereports,2,1.0986122886681096,0,8,6,7.0,2,1,9,9.0,0,0,1,1,63.0,0,2.9686432936492726,False,0.2844947975095199,100,2025-06-13 14:06:37.459309
ENT1291_ENT1439,ENT1291,ENT1439,Execute_TradingPlatformAsiasystemparameters,Execute_RiskEngineAsiareferencedata,2,1.0986122886681096,0,8,7,7.5,1,1,9,8.5,0,1,1,1,64.0,0,2.808042801932817,False,0.2691039270507667,100,2025-06-13 14:06:37.459309
ENT1291_ENT1617,ENT1291,ENT1617,Execute_TradingPlatformAsiasystemparameters,Execute_RegReportingAmericasbatchjobs,2,1.0986122886681096,0,8,6,7.0,2,1,9,8.0,0,1,1,1,57.0,0,2.6715194000815856,False,0.25602044287196135,100,2025-06-13 14:06:37.459309
ENT1291_ENT1885,ENT1291,ENT1885,Execute_TradingPlatformAsiasystemparameters,Execute_WealthManagementAsiadashboards,1,0.6931471805599453,1,8,6,7.0,2,1,9,8.0,0,1,1,1,57.0,0,2.055936584798264,False,0.19702712806077494,100,2025-06-13 14:06:37.459309
ENT1291_ENT199,ENT1291,ENT199,Execute_TradingPlatformAsiasystemparameters,Admin_FXpositions,1,0.6931471805599453,1,8,8,8.0,0,1,9,8.0,0,0,1,1,64.0,0,2.868268160742318,False,0.27487552018763867,100,2025-06-13 14:06:37.459309
