combination_id,entitlement_1,entitlement_2,entitlement_1_name,entitlement_2_name,frequency,log_frequency,is_rare,max_risk,min_risk,avg_risk,risk_difference,both_high_risk,max_criticality,avg_criticality,same_application,same_type,same_function,cross_function_high_risk,combined_risk_score,cluster,distance_to_center,is_anomaly,anomaly_score,batch_id,processing_timestamp
ENT039_ENT1074,ENT039,ENT1074,Read_Accountbalances,Admin_LoanOriginationSystemAsiabatchjobs,4,1.6094379124341003,0,8,6,7.0,2,1,9,8.5,0,0,1,1,59.0,2,1.4562654399627886,False,0.28366320953142415,45,2025-06-13 14:07:15.750839
ENT039_ENT1313,ENT039,ENT1313,Read_Accountbalances,Execute_TradingPlatformAsiareferencedata,4,1.6094379124341003,0,8,6,7.0,2,1,9,9.0,0,0,1,1,63.0,2,2.346334906782117,False,0.45703816902393657,45,2025-06-13 14:07:15.750839
ENT039_ENT1362,ENT039,ENT1362,Read_Accountbalances,Read_TradingPlatformAmericassystemparameters,7,2.0794415416798357,0,6,6,6.0,0,1,9,9.0,0,1,1,1,54.0,0,2.5447166207623875,False,0.49568057044041625,45,2025-06-13 14:07:15.750839
ENT039_ENT1409,ENT039,ENT1409,Read_Accountbalances,Execute_RiskEngineAsiabatchjobs,2,1.0986122886681096,0,7,6,6.5,1,1,9,8.5,0,0,1,1,55.0,2,1.67227050525454,False,0.3257384304453179,45,2025-06-13 14:07:15.750839
ENT039_ENT1475,ENT039,ENT1475,Read_Accountbalances,Write_RiskEngineEuropenotifications,5,1.791759469228055,0,6,6,6.0,0,1,9,8.5,0,0,1,1,51.0,3,2.7748714929414873,False,0.5405120056582199,45,2025-06-13 14:07:15.750839
ENT039_ENT1718,ENT039,ENT1718,Read_Accountbalances,Write_FraudDetectionEuropeconfigurationsettings,5,1.791759469228055,0,7,6,6.5,1,1,9,9.0,0,0,1,1,58.5,2,2.884065315157733,False,0.5617816651728037,45,2025-06-13 14:07:15.750839
ENT039_ENT1796,ENT039,ENT1796,Read_Accountbalances,Read_CardManagementAsiaworkflowrules,7,2.0794415416798357,0,6,5,5.5,1,1,9,8.5,0,1,1,1,47.0,0,0.9321188297963927,False,0.18156567591927222,45,2025-06-13 14:07:15.750839
ENT039_ENT191,ENT039,ENT191,Read_Accountbalances,Admin_FXpositions,2,1.0986122886681096,0,8,6,7.0,2,1,9,8.0,0,0,1,1,55.0,2,1.2391702206764312,False,0.24137563956871871,45,2025-06-13 14:07:15.750839
ENT039_ENT1987,ENT039,ENT1987,Read_Accountbalances,Execute_WealthManagementAmericasreferencedata,4,1.6094379124341003,0,6,6,6.0,0,1,9,8.0,0,0,1,1,48.0,3,1.9992394279382788,False,0.3894280927007591,45,2025-06-13 14:07:15.750839
ENT039_ENT275,ENT039,ENT275,Read_Accountbalances,Read_Stresstests,6,1.9459101490553132,0,6,5,5.5,1,1,9,8.5,0,1,1,1,47.0,0,0.9290048047597651,False,0.18095910083192168,45,2025-06-13 14:07:15.750839
ENT039_ENT928,ENT039,ENT928,Read_Accountbalances,Write_PaymentHubAsiaconfigurationsettings,4,1.6094379124341003,0,6,6,6.0,0,1,9,8.5,0,0,1,1,51.0,3,2.407859753683649,False,0.4690224783806593,45,2025-06-13 14:07:15.750839
ENT039_ENT935,ENT039,ENT935,Read_Accountbalances,Admin_PaymentHubAsianotifications,2,1.0986122886681096,0,8,6,7.0,2,1,9,8.5,0,0,1,1,59.0,2,1.1731881525696435,False,0.2285231164660825,45,2025-06-13 14:07:15.750839
ENT039_ENT951,ENT039,ENT951,Read_Accountbalances,Write_PaymentHubAsiaauditlogs,2,1.0986122886681096,0,6,6,6.0,0,1,9,8.5,0,0,1,1,51.0,3,2.3830251921477754,False,0.46418500078951935,45,2025-06-13 14:07:15.750839
ENT039_ENT959,ENT039,ENT959,Read_Accountbalances,Read_PaymentHubAsiadashboards,8,2.1972245773362196,0,6,5,5.5,1,1,9,8.5,0,1,1,1,47.0,0,1.3352179508123323,False,0.26008459650122273,45,2025-06-13 14:07:15.750839
ENT1074_ENT1313,ENT1074,ENT1313,Admin_LoanOriginationSystemAsiabatchjobs,Execute_TradingPlatformAsiareferencedata,1,0.6931471805599453,1,8,8,8.0,0,1,9,8.5,0,0,1,1,68.0,1,3.901729730724177,False,0.7600106050512883,45,2025-06-13 14:07:15.750839
ENT1074_ENT1362,ENT1074,ENT1362,Admin_LoanOriginationSystemAsiabatchjobs,Read_TradingPlatformAmericassystemparameters,4,1.6094379124341003,0,8,6,7.0,2,1,9,8.5,0,0,1,1,59.0,2,1.4562654399627886,False,0.28366320953142415,45,2025-06-13 14:07:15.750839
ENT1074_ENT1409,ENT1074,ENT1409,Admin_LoanOriginationSystemAsiabatchjobs,Execute_RiskEngineAsiabatchjobs,1,0.6931471805599453,1,8,7,7.5,1,1,8,8.0,0,0,1,1,60.0,1,1.3882976654789019,False,0.27042389441363907,45,2025-06-13 14:07:15.750839
ENT1074_ENT1475,ENT1074,ENT1475,Admin_LoanOriginationSystemAsiabatchjobs,Write_RiskEngineEuropenotifications,2,1.0986122886681096,0,8,6,7.0,2,1,8,8.0,0,0,1,1,56.0,2,1.7373893612788498,False,0.3384228100879073,45,2025-06-13 14:07:15.750839
ENT1074_ENT1718,ENT1074,ENT1718,Admin_LoanOriginationSystemAsiabatchjobs,Write_FraudDetectionEuropeconfigurationsettings,2,1.0986122886681096,0,8,7,7.5,1,1,9,8.5,0,0,1,1,63.5,2,2.4401340325070824,False,0.4753091245271209,45,2025-06-13 14:07:15.750839
ENT1074_ENT1796,ENT1074,ENT1796,Admin_LoanOriginationSystemAsiabatchjobs,Read_CardManagementAsiaworkflowrules,4,1.6094379124341003,0,8,5,6.5,3,1,8,8.0,0,0,1,1,52.0,2,2.603606028506513,False,0.5071515275542032,45,2025-06-13 14:07:15.750839
ENT1074_ENT191,ENT1074,ENT191,Admin_LoanOriginationSystemAsiabatchjobs,Admin_FXpositions,1,0.6931471805599453,1,8,8,8.0,0,1,8,7.5,0,1,1,1,60.0,1,3.3668999572195792,False,0.655832118120255,45,2025-06-13 14:07:15.750839
ENT1074_ENT1987,ENT1074,ENT1987,Admin_LoanOriginationSystemAsiabatchjobs,Execute_WealthManagementAmericasreferencedata,2,1.0986122886681096,0,8,6,7.0,2,1,8,7.5,0,0,1,1,53.0,2,2.521880768738063,False,0.49123241772055903,45,2025-06-13 14:07:15.750839
ENT1074_ENT275,ENT1074,ENT275,Admin_LoanOriginationSystemAsiabatchjobs,Read_Stresstests,3,1.3862943611198906,0,8,5,6.5,3,1,8,8.0,0,0,1,1,52.0,2,2.3835519979391298,False,0.46428761630004,45,2025-06-13 14:07:15.750839
ENT1074_ENT928,ENT1074,ENT928,Admin_LoanOriginationSystemAsiabatchjobs,Write_PaymentHubAsiaconfigurationsettings,3,1.3862943611198906,0,8,6,7.0,2,1,8,8.0,0,0,1,1,56.0,2,1.6326102284958686,False,0.31801307963526454,45,2025-06-13 14:07:15.750839
ENT1074_ENT935,ENT1074,ENT935,Admin_LoanOriginationSystemAsiabatchjobs,Admin_PaymentHubAsianotifications,1,0.6931471805599453,1,8,8,8.0,0,1,8,8.0,0,1,1,1,64.0,1,3.4347307562331326,False,0.6690447520434751,45,2025-06-13 14:07:15.750839
ENT1074_ENT951,ENT1074,ENT951,Admin_LoanOriginationSystemAsiabatchjobs,Write_PaymentHubAsiaauditlogs,2,1.0986122886681096,0,8,6,7.0,2,1,8,8.0,0,0,1,1,56.0,2,1.7373893612788498,False,0.3384228100879073,45,2025-06-13 14:07:15.750839
ENT1074_ENT959,ENT1074,ENT959,Admin_LoanOriginationSystemAsiabatchjobs,Read_PaymentHubAsiadashboards,4,1.6094379124341003,0,8,5,6.5,3,1,8,8.0,0,0,1,1,52.0,2,2.603606028506513,False,0.5071515275542032,45,2025-06-13 14:07:15.750839
ENT1313_ENT1362,ENT1313,ENT1362,Execute_TradingPlatformAsiareferencedata,Read_TradingPlatformAmericassystemparameters,3,1.3862943611198906,0,8,6,7.0,2,1,9,9.0,0,0,1,1,63.0,2,2.0994864300557903,False,0.4089550179344469,45,2025-06-13 14:07:15.750839
ENT1313_ENT1409,ENT1313,ENT1409,Execute_TradingPlatformAsiareferencedata,Execute_RiskEngineAsiabatchjobs,1,0.6931471805599453,1,8,7,7.5,1,1,9,8.5,0,1,1,1,64.0,1,3.3487232892115784,False,0.6522915191029024,45,2025-06-13 14:07:15.750839
ENT1313_ENT1475,ENT1313,ENT1475,Execute_TradingPlatformAsiareferencedata,Write_RiskEngineEuropenotifications,3,1.3862943611198906,0,8,6,7.0,2,1,9,8.5,0,0,1,1,60.0,2,1.0774870373136156,False,0.209881675994931,45,2025-06-13 14:07:15.750839
