combination_id,entitlement_1,entitlement_2,entitlement_1_name,entitlement_2_name,frequency,log_frequency,is_rare,max_risk,min_risk,avg_risk,risk_difference,both_high_risk,max_criticality,avg_criticality,same_application,same_type,same_function,cross_function_high_risk,combined_risk_score,cluster,distance_to_center,is_anomaly,anomaly_score,batch_id,processing_timestamp
ENT025_ENT1265,ENT025,ENT1265,Read_Customerprofiles,Read_TreasuryManagementAmericasconfigurationsettings,7,2.0794415416798357,0,6,4,5.0,2,1,9,8.0,0,1,1,1,41.0,0,0.2809267218669467,False,0.048553601390845226,1,2025-06-13 14:07:10.386328
ENT025_ENT1308,ENT025,ENT1308,Read_Customerprofiles,Read_TradingPlatformAsiaworkflowrules,6,1.9459101490553132,0,6,6,6.0,0,1,9,9.0,0,1,1,1,54.0,1,1.3235405307261072,False,0.22875239110909287,1,2025-06-13 14:07:10.386328
ENT025_ENT1310,ENT025,ENT1310,Read_Customerprofiles,Read_TradingPlatformAsiabatchjobs,7,2.0794415416798357,0,6,6,6.0,0,1,9,9.0,0,1,1,1,54.0,1,1.610711219960754,False,0.27838516040769,1,2025-06-13 14:07:10.386328
ENT025_ENT1503,ENT025,ENT1503,Read_Customerprofiles,Admin_RiskEngineAmericasreports,1,0.6931471805599453,1,8,6,7.0,2,1,9,8.5,0,0,1,1,59.0,3,1.0661358802827958,False,0.18426419607119365,1,2025-06-13 14:07:10.386328
ENT025_ENT1504,ENT025,ENT1504,Read_Customerprofiles,Read_RiskEngineAmericasreferencedata,7,2.0794415416798357,0,6,5,5.5,1,1,9,8.5,0,1,1,1,47.0,0,1.6108579375592849,False,0.27841051815133483,1,2025-06-13 14:07:10.386328
ENT025_ENT1525,ENT025,ENT1525,Read_Customerprofiles,Read_RegReportingAsiabatchjobs,7,2.0794415416798357,0,6,4,5.0,2,1,9,8.0,0,1,1,1,41.0,0,0.2809267218669467,False,0.048553601390845226,1,2025-06-13 14:07:10.386328
ENT025_ENT1581,ENT025,ENT1581,Read_Customerprofiles,Read_RegReportingEuropedashboards,7,2.0794415416798357,0,6,4,5.0,2,1,9,8.0,0,1,1,1,41.0,0,0.2809267218669467,False,0.048553601390845226,1,2025-06-13 14:07:10.386328
ENT025_ENT1755,ENT025,ENT1755,Read_Customerprofiles,Read_FraudDetectionAmericasnotifications,4,1.6094379124341003,0,6,6,6.0,0,1,9,9.0,0,1,1,1,54.0,1,1.5650178106816885,False,0.2704877999658618,1,2025-06-13 14:07:10.386328
ENT025_ENT1756,ENT025,ENT1756,Read_Customerprofiles,Read_FraudDetectionAmericasreports,5,1.791759469228055,0,6,6,6.0,0,1,9,9.0,0,1,1,1,54.0,1,1.2850241402532558,False,0.22209546129620486,1,2025-06-13 14:07:10.386328
ENT025_ENT1930,ENT025,ENT1930,Read_Customerprofiles,Write_WealthManagementEuropeauditlogs,6,1.9459101490553132,0,6,6,6.0,0,1,9,8.0,0,0,1,1,48.0,1,1.633439783631227,False,0.28231342188922065,1,2025-06-13 14:07:10.386328
ENT025_ENT433,ENT025,ENT433,Read_Customerprofiles,Write_WealthManagementauditlogs,5,1.791759469228055,0,6,6,6.0,0,1,9,8.0,0,0,1,1,48.0,1,1.6023897875698359,False,0.27694693655833735,1,2025-06-13 14:07:10.386328
ENT025_ENT486,ENT025,ENT486,Read_Customerprofiles,Read_MobileBankingnotifications,7,2.0794415416798357,0,6,4,5.0,2,1,9,8.0,0,1,1,1,41.0,0,0.2809267218669467,False,0.048553601390845226,1,2025-06-13 14:07:10.386328
ENT025_ENT554,ENT025,ENT554,Read_Customerprofiles,Read_InternetBankingreferencedata,7,2.0794415416798357,0,6,4,5.0,2,1,9,8.0,0,1,1,1,41.0,0,0.2809267218669467,False,0.048553601390845226,1,2025-06-13 14:07:10.386328
ENT025_ENT917,ENT025,ENT917,Read_Customerprofiles,Read_CoreBankingAmericasworkflowrules,7,2.0794415416798357,0,6,6,6.0,0,1,9,9.0,0,1,1,1,54.0,1,1.610711219960754,False,0.27838516040769,1,2025-06-13 14:07:10.386328
ENT1265_ENT1308,ENT1265,ENT1308,Read_TreasuryManagementAmericasconfigurationsettings,Read_TradingPlatformAsiaworkflowrules,7,2.0794415416798357,0,6,4,5.0,2,1,9,8.0,0,1,1,1,41.0,0,0.2809267218669467,False,0.048553601390845226,1,2025-06-13 14:07:10.386328
ENT1265_ENT1310,ENT1265,ENT1310,Read_TreasuryManagementAmericasconfigurationsettings,Read_TradingPlatformAsiabatchjobs,8,2.1972245773362196,0,6,4,5.0,2,1,9,8.0,0,1,1,1,41.0,0,0.7150277428420589,False,0.12358088179946071,1,2025-06-13 14:07:10.386328
ENT1265_ENT1503,ENT1265,ENT1503,Read_TreasuryManagementAmericasconfigurationsettings,Admin_RiskEngineAmericasreports,2,1.0986122886681096,0,8,4,6.0,4,1,8,7.5,0,0,1,1,46.0,2,2.108013738680454,False,0.3643357887570133,1,2025-06-13 14:07:10.386328
ENT1265_ENT1504,ENT1265,ENT1504,Read_TreasuryManagementAmericasconfigurationsettings,Read_RiskEngineAmericasreferencedata,8,2.1972245773362196,0,5,4,4.5,1,1,8,7.5,0,1,1,1,34.0,4,1.4825790017299985,False,0.2562395965825177,1,2025-06-13 14:07:10.386328
