combination_id,entitlement_1,entitlement_2,entitlement_1_name,entitlement_2_name,frequency,log_frequency,is_rare,max_risk,min_risk,avg_risk,risk_difference,both_high_risk,max_criticality,avg_criticality,same_application,same_type,same_function,cross_function_high_risk,combined_risk_score,cluster,distance_to_center,is_anomaly,anomaly_score,batch_id,processing_timestamp
ENT1368_ENT1382,ENT1368,ENT1382,Admin_TradingPlatformAmericasconfigurationsettings,Read_TradingPlatformAmericasuseraccounts,2,1.0986122886681096,0,8,6,7.0,2,1,9,9.0,1,0,1,1,63.0,0,5.612168354908561,True,0.7381813182800575,1,2025-06-13 14:07:26.998040
ENT1368_ENT148,ENT1368,ENT148,Admin_TradingPlatformAmericasconfigurationsettings,Read_Creditreports,1,0.6931471805599453,1,8,5,6.5,3,1,9,8.5,0,0,1,1,56.0,0,4.887553685684554,False,0.6428710962862698,1,2025-06-13 14:07:26.998040
ENT1368_ENT1782,ENT1368,ENT1782,Admin_TradingPlatformAmericasconfigurationsettings,Read_CardManagementAsiaconfigurationsettings,2,1.0986122886681096,0,8,5,6.5,3,1,9,8.5,0,0,1,1,56.0,0,1.513136968269909,False,0.1990263604616989,1,2025-06-13 14:07:26.998040
ENT1368_ENT1786,ENT1368,ENT1786,Admin_TradingPlatformAmericasconfigurationsettings,Read_CardManagementAsiauseraccounts,2,1.0986122886681096,0,8,5,6.5,3,1,9,8.5,0,0,1,1,56.0,0,1.513136968269909,False,0.1990263604616989,1,2025-06-13 14:07:26.998040
ENT1368_ENT1927,ENT1368,ENT1927,Admin_TradingPlatformAmericasconfigurationsettings,Write_WealthManagementEuropeworkflowrules,2,1.0986122886681096,0,8,6,7.0,2,1,9,8.0,0,0,1,1,57.0,0,1.9380580677063928,False,0.2549172029152563,1,2025-06-13 14:07:26.998040
ENT1368_ENT1977,ENT1368,ENT1977,Admin_TradingPlatformAmericasconfigurationsettings,Admin_WealthManagementAmericasbatchjobs,1,0.6931471805599453,1,8,8,8.0,0,1,9,8.0,0,1,1,1,64.0,0,7.227064735118056,True,0.950592326546783,1,2025-06-13 14:07:26.998040
ENT1368_ENT346,ENT1368,ENT346,Admin_TradingPlatformAmericasconfigurationsettings,Read_Watchlists,2,1.0986122886681096,0,8,6,7.0,2,1,9,9.0,0,0,1,1,63.0,0,2.4956525857289393,False,0.3282588830556275,1,2025-06-13 14:07:26.998040
ENT1368_ENT486,ENT1368,ENT486,Admin_TradingPlatformAmericasconfigurationsettings,Read_MobileBankingnotifications,2,1.0986122886681096,0,8,4,6.0,4,1,9,8.0,0,0,1,1,50.0,0,2.3728065792400304,False,0.3121006673213989,1,2025-06-13 14:07:26.998040
ENT1368_ENT491,ENT1368,ENT491,Admin_TradingPlatformAmericasconfigurationsettings,Read_MobileBankingconfigurationsettings,2,1.0986122886681096,0,8,4,6.0,4,1,9,8.0,0,0,1,1,50.0,0,2.3728065792400304,False,0.3121006673213989,1,2025-06-13 14:07:26.998040
ENT1368_ENT576,ENT1368,ENT576,Admin_TradingPlatformAmericasconfigurationsettings,Read_GeneralLedgerreferencedata,2,1.0986122886681096,0,8,5,6.5,3,1,9,8.5,0,0,1,1,56.0,0,1.513136968269909,False,0.1990263604616989,1,2025-06-13 14:07:26.998040
