combination_id,entitlement_1,entitlement_2,entitlement_1_name,entitlement_2_name,frequency,log_frequency,is_rare,max_risk,min_risk,avg_risk,risk_difference,both_high_risk,max_criticality,avg_criticality,same_application,same_type,same_function,cross_function_high_risk,combined_risk_score,cluster,distance_to_center,is_anomaly,anomaly_score,batch_id,processing_timestamp
ENT1114_ENT1491,ENT1114,ENT1491,Write_LoanOriginationSystemEuropeworkflowrules,Write_RiskEngineAmericassystemparameters,3,1.3862943611198906,0,6,6,6.0,0,1,8,8.0,0,1,1,1,48.0,2,1.2279998669846346,False,0.26722039182205126,95,2025-06-13 14:09:00.739671
ENT1114_ENT1507,ENT1114,ENT1507,Write_LoanOriginationSystemEuropeworkflowrules,Write_RiskEngineAmericasdashboards,3,1.3862943611198906,0,6,6,6.0,0,1,8,8.0,0,1,1,1,48.0,2,1.2279998669846346,False,0.26722039182205126,95,2025-06-13 14:09:00.739671
ENT1114_ENT1534,ENT1114,ENT1534,Write_LoanOriginationSystemEuropeworkflowrules,Read_RegReportingAsiareports,5,1.791759469228055,0,6,4,5.0,2,1,8,7.5,0,0,1,1,38.0,1,0.9887856690709795,False,0.21516589783187848,95,2025-06-13 14:09:00.739671
ENT1114_ENT1543,ENT1114,ENT1543,Write_LoanOriginationSystemEuropeworkflowrules,Write_RegReportingAsiaauditlogs,4,1.6094379124341003,0,6,6,6.0,0,1,8,7.5,0,1,1,1,45.0,2,0.7874901459053909,False,0.1713627427839745,95,2025-06-13 14:09:00.739671
ENT1114_ENT1704,ENT1114,ENT1704,Write_LoanOriginationSystemEuropeworkflowrules,Execute_FraudDetectionEuropebatchjobs,4,1.6094379124341003,0,8,6,7.0,2,1,9,8.5,0,0,1,1,60.0,0,2.4087105578216,False,0.5241503654454821,95,2025-06-13 14:09:00.739671
ENT1114_ENT1827,ENT1114,ENT1827,Write_LoanOriginationSystemEuropeworkflowrules,Read_CardManagementEuropeauditlogs,5,1.791759469228055,0,6,5,5.5,1,1,8,8.0,0,0,1,1,44.0,1,1.3431816913207189,False,0.29228467159713384,95,2025-06-13 14:09:00.739671
ENT1114_ENT1870,ENT1114,ENT1870,Write_LoanOriginationSystemEuropeworkflowrules,Write_CardManagementAmericasconfigurationsettings,4,1.6094379124341003,0,6,6,6.0,0,1,8,8.0,0,1,1,1,48.0,2,0.7624824999900653,False,0.16592092383944199,95,2025-06-13 14:09:00.739671
ENT1114_ENT1888,ENT1114,ENT1888,Write_LoanOriginationSystemEuropeworkflowrules,Write_WealthManagementAsiaconfigurationsettings,6,1.9459101490553132,0,6,6,6.0,0,1,8,7.5,0,1,1,1,45.0,2,2.095322439023521,False,0.45595516595964525,95,2025-06-13 14:09:00.739671
ENT1114_ENT1926,ENT1114,ENT1926,Write_LoanOriginationSystemEuropeworkflowrules,Admin_WealthManagementEuropereports,2,1.0986122886681096,0,8,6,7.0,2,1,8,7.5,0,0,1,1,52.0,0,0.9907684876773071,False,0.2155973714656631,95,2025-06-13 14:09:00.739671
ENT1114_ENT660,ENT1114,ENT660,Write_LoanOriginationSystemEuropeworkflowrules,Admin_EmailSystembatchjobs,3,1.3862943611198906,0,6,6,6.0,0,1,8,6.5,0,0,1,1,39.0,4,1.2389439981749775,False,0.26960190268655687,95,2025-06-13 14:09:00.739671
ENT1114_ENT734,ENT1114,ENT734,Write_LoanOriginationSystemEuropeworkflowrules,Write_DataWarehousenotifications,3,1.3862943611198906,0,6,6,6.0,0,1,8,7.5,0,1,1,1,45.0,2,1.243681969163047,False,0.2706329145766333,95,2025-06-13 14:09:00.739671
ENT1114_ENT770,ENT1114,ENT770,Write_LoanOriginationSystemEuropeworkflowrules,Execute_ActiveDirectorydashboards,2,1.0986122886681096,0,7,6,6.5,1,1,8,8.0,0,0,1,1,52.0,0,1.5772277680194247,False,0.34321455033841924,95,2025-06-13 14:09:00.739671
ENT1114_ENT839,ENT1114,ENT839,Write_LoanOriginationSystemEuropeworkflowrules,Read_CoreBankingAsiasystemparameters,6,1.9459101490553132,0,6,6,6.0,0,1,9,8.5,0,0,1,1,51.0,2,3.1664266233208287,False,0.6890340835600056,95,2025-06-13 14:09:00.739671
