combination_id,entitlement_1,entitlement_2,entitlement_1_name,entitlement_2_name,frequency,log_frequency,is_rare,max_risk,min_risk,avg_risk,risk_difference,both_high_risk,max_criticality,avg_criticality,same_application,same_type,same_function,cross_function_high_risk,combined_risk_score,cluster,distance_to_center,is_anomaly,anomaly_score,batch_id,processing_timestamp
ENT088_ENT1084,ENT088,ENT1084,Execute_Servicerequests,Execute_LoanOriginationSystemEuropeworkflowrules,1,0.6931471805599453,1,7,6,6.5,1,1,8,7.0,0,1,1,1,46.0,2,2.208359558071108,False,0.36850403402612797,121,2025-06-13 14:06:09.448340
ENT088_ENT1378,ENT088,ENT1378,Execute_Servicerequests,Execute_TradingPlatformAmericasbatchjobs,1,0.6931471805599453,1,8,6,7.0,2,1,9,7.5,0,1,1,1,54.0,0,3.209769643018514,False,0.5356071013997626,121,2025-06-13 14:06:09.448340
ENT088_ENT1550,ENT088,ENT1550,Execute_Servicerequests,Execute_RegReportingAsiabatchjobs,1,0.6931471805599453,1,6,6,6.0,0,1,7,6.5,0,1,1,1,39.0,2,3.8780003775649146,False,0.647113273680727,121,2025-06-13 14:06:09.448340
ENT088_ENT1709,ENT088,ENT1709,Execute_Servicerequests,Admin_FraudDetectionEuropeconfigurationsettings,1,0.6931471805599453,1,8,6,7.0,2,1,9,7.5,0,0,1,1,54.0,0,2.5814370328931395,False,0.4307586401538919,121,2025-06-13 14:06:09.448340
ENT088_ENT1779,ENT088,ENT1779,Execute_Servicerequests,Admin_CardManagementAsiareferencedata,2,1.0986122886681096,0,8,6,7.0,2,1,8,7.0,0,0,1,1,50.0,0,2.2906975986539972,False,0.3822435992150068,121,2025-06-13 14:06:09.448340
ENT088_ENT1791,ENT088,ENT1791,Execute_Servicerequests,Execute_CardManagementAsianotifications,1,0.6931471805599453,1,7,6,6.5,1,1,8,7.0,0,1,1,1,46.0,2,2.208359558071108,False,0.36850403402612797,121,2025-06-13 14:06:09.448340
ENT088_ENT209,ENT088,ENT209,Execute_Servicerequests,Admin_Pricingmodels,1,0.6931471805599453,1,8,6,7.0,2,1,9,7.5,0,0,1,1,54.0,0,2.5814370328931395,False,0.4307586401538919,121,2025-06-13 14:06:09.448340
ENT088_ENT453,ENT088,ENT453,Execute_Servicerequests,Admin_ATMNetworksystemparameters,1,0.6931471805599453,1,8,6,7.0,2,1,8,7.0,0,0,1,1,50.0,0,3.0479683720403647,False,0.5086076841861629,121,2025-06-13 14:06:09.448340
ENT088_ENT521,ENT088,ENT521,Execute_Servicerequests,Admin_InternetBankinguseraccounts,2,1.0986122886681096,0,8,6,7.0,2,1,7,6.5,0,0,1,1,46.0,0,4.063105684173753,False,0.6780013833437115,121,2025-06-13 14:06:09.448340
ENT088_ENT895,ENT088,ENT895,Execute_Servicerequests,Admin_CoreBankingAmericassystemparameters,1,0.6931471805599453,1,8,6,7.0,2,1,9,7.5,0,0,1,1,54.0,0,2.5814370328931395,False,0.4307586401538919,121,2025-06-13 14:06:09.448340
ENT1084_ENT1378,ENT1084,ENT1378,Execute_LoanOriginationSystemEuropeworkflowrules,Execute_TradingPlatformAmericasbatchjobs,1,0.6931471805599453,1,8,7,7.5,1,1,9,8.5,0,1,1,1,64.0,1,2.6651864738018323,False,0.44473372256721166,121,2025-06-13 14:06:09.448340
ENT1084_ENT1550,ENT1084,ENT1550,Execute_LoanOriginationSystemEuropeworkflowrules,Execute_RegReportingAsiabatchjobs,1,0.6931471805599453,1,7,6,6.5,1,1,8,7.5,0,1,1,1,49.0,2,2.121949744059551,False,0.3540850210867138,121,2025-06-13 14:06:09.448340
ENT1084_ENT1779,ENT1084,ENT1779,Execute_LoanOriginationSystemEuropeworkflowrules,Admin_CardManagementAsiareferencedata,1,0.6931471805599453,1,8,7,7.5,1,1,8,8.0,0,0,1,1,60.0,0,2.6601530041584955,False,0.44389379871426005,121,2025-06-13 14:06:09.448340
ENT1084_ENT1791,ENT1084,ENT1791,Execute_LoanOriginationSystemEuropeworkflowrules,Execute_CardManagementAsianotifications,2,1.0986122886681096,0,7,7,7.0,0,1,8,8.0,0,1,1,1,56.0,2,2.5940583378515054,False,0.4328647291622843,121,2025-06-13 14:06:09.448340
ENT1084_ENT209,ENT1084,ENT209,Execute_LoanOriginationSystemEuropeworkflowrules,Admin_Pricingmodels,1,0.6931471805599453,1,8,7,7.5,1,1,9,8.5,0,0,1,1,64.0,0,2.930913975262291,False,0.4890750780688458,121,2025-06-13 14:06:09.448340
ENT1084_ENT453,ENT1084,ENT453,Execute_LoanOriginationSystemEuropeworkflowrules,Admin_ATMNetworksystemparameters,1,0.6931471805599453,1,8,7,7.5,1,1,8,8.0,0,0,1,1,60.0,0,2.6601530041584955,False,0.44389379871426005,121,2025-06-13 14:06:09.448340
ENT1084_ENT521,ENT1084,ENT521,Execute_LoanOriginationSystemEuropeworkflowrules,Admin_InternetBankinguseraccounts,1,0.6931471805599453,1,8,7,7.5,1,1,8,7.5,0,0,1,1,56.0,0,2.7381992826945605,False,0.4569172071425449,121,2025-06-13 14:06:09.448340
ENT1084_ENT561,ENT1084,ENT561,Execute_LoanOriginationSystemEuropeworkflowrules,Admin_GeneralLedgerbatchjobs,1,0.6931471805599453,1,8,7,7.5,1,1,8,8.0,0,0,1,1,60.0,0,2.6601530041584955,False,0.44389379871426005,121,2025-06-13 14:06:09.448340
ENT1084_ENT895,ENT1084,ENT895,Execute_LoanOriginationSystemEuropeworkflowrules,Admin_CoreBankingAmericassystemparameters,1,0.6931471805599453,1,8,7,7.5,1,1,9,8.5,0,0,1,1,64.0,0,2.930913975262291,False,0.4890750780688458,121,2025-06-13 14:06:09.448340
ENT1378_ENT1550,ENT1378,ENT1550,Execute_TradingPlatformAmericasbatchjobs,Execute_RegReportingAsiabatchjobs,6,1.9459101490553132,0,8,6,7.0,2,1,9,8.0,0,1,1,1,57.0,0,4.57545043068013,True,0.763495208481771,121,2025-06-13 14:06:09.448340
ENT1378_ENT1709,ENT1378,ENT1709,Execute_TradingPlatformAmericasbatchjobs,Admin_FraudDetectionEuropeconfigurationsettings,2,1.0986122886681096,0,8,8,8.0,0,1,9,9.0,0,0,1,1,72.0,1,2.0570048534292362,False,0.34324781203749516,121,2025-06-13 14:06:09.448340
ENT1378_ENT1730,ENT1378,ENT1730,Execute_TradingPlatformAmericasbatchjobs,Admin_FraudDetectionAmericasconfigurationsettings,2,1.0986122886681096,0,8,8,8.0,0,1,9,9.0,0,0,1,1,72.0,1,2.0570048534292362,False,0.34324781203749516,121,2025-06-13 14:06:09.448340
ENT1378_ENT1779,ENT1378,ENT1779,Execute_TradingPlatformAmericasbatchjobs,Admin_CardManagementAsiareferencedata,2,1.0986122886681096,0,8,8,8.0,0,1,9,8.5,0,0,1,1,68.0,1,1.7999177635400707,False,0.30034826274356413,121,2025-06-13 14:06:09.448340
