combination_id,entitlement_1,entitlement_2,entitlement_1_name,entitlement_2_name,frequency,log_frequency,is_rare,max_risk,min_risk,avg_risk,risk_difference,both_high_risk,max_criticality,avg_criticality,same_application,same_type,same_function,cross_function_high_risk,combined_risk_score,cluster,distance_to_center,is_anomaly,anomaly_score,batch_id,processing_timestamp
ENT024_ENT1094,ENT024,ENT1094,Execute_Customerprofiles,Admin_LoanOriginationSystemEuropesystemparameters,1,0.6931471805599453,1,8,8,8.0,0,1,9,8.5,0,0,1,1,68.0,2,3.020645008865741,False,0.5839388869973555,1,2025-06-13 14:05:57.577606
ENT024_ENT1144,ENT024,ENT1144,Execute_Customerprofiles,Read_LoanOriginationSystemAmericasconfigurationsettings,4,1.6094379124341003,0,8,5,6.5,3,1,9,8.5,0,0,1,1,56.0,3,1.7494461501093685,False,0.33819586040673977,1,2025-06-13 14:05:57.577606
ENT024_ENT1204,ENT024,ENT1204,Execute_Customerprofiles,Write_TreasuryManagementEuropereports,5,1.791759469228055,0,8,6,7.0,2,1,9,8.0,0,0,1,1,57.0,0,1.3867468007163668,False,0.2680802878129434,1,2025-06-13 14:05:57.577606
ENT024_ENT1382,ENT024,ENT1382,Execute_Customerprofiles,Read_TradingPlatformAmericasuseraccounts,5,1.791759469228055,0,8,6,7.0,2,1,9,9.0,0,0,1,1,63.0,0,1.9010775861006541,False,0.3675086368854993,1,2025-06-13 14:05:57.577606
ENT024_ENT1386,ENT024,ENT1386,Execute_Customerprofiles,Write_TradingPlatformAmericasnotifications,4,1.6094379124341003,0,8,7,7.5,1,1,9,9.0,0,0,1,1,67.5,0,1.8492680682600404,False,0.3574930302534979,1,2025-06-13 14:05:57.577606
ENT024_ENT1387,ENT024,ENT1387,Execute_Customerprofiles,Execute_TradingPlatformAmericasbatchjobs,4,1.6094379124341003,0,8,8,8.0,0,1,9,9.0,0,1,1,1,72.0,0,2.98123548393173,False,0.5763203968869595,1,2025-06-13 14:05:57.577606
ENT024_ENT185,ENT024,ENT185,Execute_Customerprofiles,Read_Cashpositions,5,1.791759469228055,0,8,4,6.0,4,1,9,8.0,0,0,1,1,50.0,3,1.0415462681758452,False,0.20134751578214496,1,2025-06-13 14:05:57.577606
ENT024_ENT1949,ENT024,ENT1949,Execute_Customerprofiles,Execute_WealthManagementEuropebatchjobs,4,1.6094379124341003,0,8,6,7.0,2,1,9,8.0,0,1,1,1,57.0,0,2.1963098274617265,False,0.4245817407822246,1,2025-06-13 14:05:57.577606
ENT024_ENT1969,ENT024,ENT1969,Execute_Customerprofiles,Admin_WealthManagementAmericasconfigurationsettings,3,1.3862943611198906,0,8,8,8.0,0,1,9,8.0,0,0,1,1,64.0,0,2.064654809303668,False,0.3991307246763296,1,2025-06-13 14:05:57.577606
ENT024_ENT1977,ENT024,ENT1977,Execute_Customerprofiles,Admin_WealthManagementAmericasbatchjobs,5,1.791759469228055,0,8,8,8.0,0,1,9,8.0,0,0,1,1,64.0,0,1.7920663424251655,False,0.34643502376140517,1,2025-06-13 14:05:57.577606
ENT024_ENT1994,ENT024,ENT1994,Execute_Customerprofiles,Read_WealthManagementAmericasbatchjobs,5,1.791759469228055,0,8,4,6.0,4,1,9,8.0,0,0,1,1,50.0,3,1.0415462681758452,False,0.20134751578214496,1,2025-06-13 14:05:57.577606
ENT024_ENT405,ENT024,ENT405,Execute_Customerprofiles,Read_WealthManagementconfigurationsettings,5,1.791759469228055,0,8,4,6.0,4,1,9,8.0,0,0,1,1,50.0,3,1.0415462681758452,False,0.20134751578214496,1,2025-06-13 14:05:57.577606
ENT024_ENT486,ENT024,ENT486,Execute_Customerprofiles,Read_MobileBankingnotifications,5,1.791759469228055,0,8,4,6.0,4,1,9,8.0,0,0,1,1,50.0,3,1.0415462681758452,False,0.20134751578214496,1,2025-06-13 14:05:57.577606
ENT024_ENT554,ENT024,ENT554,Execute_Customerprofiles,Read_InternetBankingreferencedata,4,1.6094379124341003,0,8,4,6.0,4,1,9,8.0,0,0,1,1,50.0,3,1.2919243328779566,False,0.2497495914982859,1,2025-06-13 14:05:57.577606
ENT1094_ENT1144,ENT1094,ENT1144,Admin_LoanOriginationSystemEuropesystemparameters,Read_LoanOriginationSystemAmericasconfigurationsettings,1,0.6931471805599453,1,8,5,6.5,3,1,8,8.0,0,0,1,1,52.0,2,1.1219493859388197,False,0.2168907216073335,1,2025-06-13 14:05:57.577606
ENT1094_ENT1204,ENT1094,ENT1204,Admin_LoanOriginationSystemEuropesystemparameters,Write_TreasuryManagementEuropereports,1,0.6931471805599453,1,8,6,7.0,2,1,8,7.5,0,0,1,1,53.0,2,0.7423262212786653,False,0.14350350543349238,1,2025-06-13 14:05:57.577606
ENT1094_ENT1382,ENT1094,ENT1382,Admin_LoanOriginationSystemEuropesystemparameters,Read_TradingPlatformAmericasuseraccounts,1,0.6931471805599453,1,8,6,7.0,2,1,9,8.5,0,0,1,1,59.0,2,1.4926451133647372,False,0.2885521216899099,1,2025-06-13 14:05:57.577606
