combination_id,entitlement_1,entitlement_2,entitlement_1_name,entitlement_2_name,frequency,log_frequency,is_rare,max_risk,min_risk,avg_risk,risk_difference,both_high_risk,max_criticality,avg_criticality,same_application,same_type,same_function,cross_function_high_risk,combined_risk_score,cluster,distance_to_center,is_anomaly,anomaly_score,batch_id,processing_timestamp
ENT097_ENT1046,ENT097,ENT1046,Read_Preferences,Read_LoanOriginationSystemAsiaconfigurationsettings,4,1.6094379124341003,0,5,4,4.5,1,1,8,7.0,0,1,1,1,32.0,1,2.209463645055431,False,0.34820785272260985,86,2025-06-13 14:05:52.624999
ENT097_ENT1057,ENT097,ENT1057,Read_Preferences,Admin_LoanOriginationSystemAsiaconfigurationsettings,1,0.6931471805599453,1,8,4,6.0,4,1,8,7.0,0,0,1,1,44.0,0,3.764583463145033,True,0.5932921897268383,86,2025-06-13 14:05:52.624999
ENT097_ENT1317,ENT097,ENT1317,Read_Preferences,Admin_TradingPlatformAsiabatchjobs,2,1.0986122886681096,0,8,4,6.0,4,1,9,7.5,0,0,1,1,48.0,0,2.0195395094863313,False,0.3182761199354633,86,2025-06-13 14:05:52.624999
ENT097_ENT1330,ENT097,ENT1330,Read_Preferences,Execute_TradingPlatformEuropenotifications,1,0.6931471805599453,1,8,4,6.0,4,1,9,7.5,0,0,1,1,48.0,0,3.552457617444855,True,0.5598615037757356,86,2025-06-13 14:05:52.624999
ENT097_ENT1603,ENT097,ENT1603,Read_Preferences,Write_RegReportingAmericasnotifications,3,1.3862943611198906,0,6,4,5.0,2,1,7,6.5,0,0,1,1,33.0,1,2.5357824868032726,False,0.3996351678731583,86,2025-06-13 14:05:52.624999
ENT097_ENT1612,ENT097,ENT1612,Read_Preferences,Write_RegReportingAmericasconfigurationsettings,3,1.3862943611198906,0,6,4,5.0,2,1,7,6.5,0,0,1,1,33.0,1,2.5357824868032726,False,0.3996351678731583,86,2025-06-13 14:05:52.624999
ENT097_ENT1799,ENT097,ENT1799,Read_Preferences,Read_CardManagementAsiasystemparameters,4,1.6094379124341003,0,5,4,4.5,1,1,8,7.0,0,1,1,1,32.0,1,2.209463645055431,False,0.34820785272260985,86,2025-06-13 14:05:52.624999
ENT097_ENT1920,ENT097,ENT1920,Read_Preferences,Write_WealthManagementAsiadashboards,4,1.6094379124341003,0,6,4,5.0,2,1,7,6.5,0,0,1,1,33.0,1,2.260082300139854,False,0.3561852698817916,86,2025-06-13 14:05:52.624999
ENT097_ENT268,ENT097,ENT268,Read_Preferences,Admin_Riskparameters,2,1.0986122886681096,0,8,4,6.0,4,1,8,7.0,0,0,1,1,44.0,0,2.3729039924993516,False,0.3739657838653317,86,2025-06-13 14:05:52.624999
ENT097_ENT376,ENT097,ENT376,Read_Preferences,Execute_Cardlimits,2,1.0986122886681096,0,7,4,5.5,3,1,8,7.0,0,0,1,1,40.0,0,2.5816040625344154,False,0.40685657318091906,86,2025-06-13 14:05:52.624999
ENT097_ENT393,ENT097,ENT393,Read_Preferences,Read_Rewardsdata,5,1.791759469228055,0,5,4,4.5,1,1,8,7.0,0,1,1,1,32.0,1,2.238386118181561,False,0.3527659871301233,86,2025-06-13 14:05:52.624999
ENT097_ENT406,ENT097,ENT406,Read_Preferences,Execute_WealthManagementconfigurationsettings,4,1.6094379124341003,0,6,4,5.0,2,1,7,6.5,0,0,1,1,33.0,1,2.260082300139854,False,0.3561852698817916,86,2025-06-13 14:05:52.624999
ENT097_ENT756,ENT097,ENT756,Read_Preferences,Read_DataWarehousedashboards,5,1.791759469228055,0,4,4,4.0,0,1,7,6.5,0,1,1,1,26.0,1,3.415509707976903,True,0.5382787374797599,86,2025-06-13 14:05:52.624999
ENT097_ENT991,ENT097,ENT991,Read_Preferences,Admin_PaymentHubEuropesystemparameters,3,1.3862943611198906,0,8,4,6.0,4,1,8,7.0,0,0,1,1,44.0,0,2.3870277801154396,False,0.37619166966757794,86,2025-06-13 14:05:52.624999
ENT1046_ENT1057,ENT1046,ENT1057,Read_LoanOriginationSystemAsiaconfigurationsettings,Admin_LoanOriginationSystemAsiaconfigurationsettings,3,1.3862943611198906,0,8,5,6.5,3,1,8,8.0,1,0,0,0,52.0,2,0.0,False,0.0,86,2025-06-13 14:05:52.624999
ENT1046_ENT1317,ENT1046,ENT1317,Read_LoanOriginationSystemAsiaconfigurationsettings,Admin_TradingPlatformAsiabatchjobs,3,1.3862943611198906,0,8,5,6.5,3,1,9,8.5,0,0,1,1,56.0,0,1.8524071287060666,False,0.29193633038420613,86,2025-06-13 14:05:52.624999
ENT1046_ENT1330,ENT1046,ENT1330,Read_LoanOriginationSystemAsiaconfigurationsettings,Execute_TradingPlatformEuropenotifications,3,1.3862943611198906,0,8,5,6.5,3,1,9,8.5,0,0,1,1,56.0,0,1.8524071287060666,False,0.29193633038420613,86,2025-06-13 14:05:52.624999
ENT1046_ENT1603,ENT1046,ENT1603,Read_LoanOriginationSystemAsiaconfigurationsettings,Write_RegReportingAmericasnotifications,4,1.6094379124341003,0,6,5,5.5,1,1,8,7.5,0,0,1,1,41.0,1,1.394063257043888,False,0.21970208669469268,86,2025-06-13 14:05:52.624999
ENT1046_ENT1612,ENT1046,ENT1612,Read_LoanOriginationSystemAsiaconfigurationsettings,Write_RegReportingAmericasconfigurationsettings,6,1.9459101490553132,0,6,5,5.5,1,1,8,7.5,0,0,1,1,41.0,1,1.8442231255955668,False,0.2906465448943386,86,2025-06-13 14:05:52.624999
ENT1046_ENT1799,ENT1046,ENT1799,Read_LoanOriginationSystemAsiaconfigurationsettings,Read_CardManagementAsiasystemparameters,5,1.791759469228055,0,5,5,5.0,0,1,8,8.0,0,1,1,1,40.0,1,2.531734405409941,False,0.39899719687382873,86,2025-06-13 14:05:52.624999
ENT1046_ENT1920,ENT1046,ENT1920,Read_LoanOriginationSystemAsiaconfigurationsettings,Write_WealthManagementAsiadashboards,6,1.9459101490553132,0,6,5,5.5,1,1,8,7.5,0,0,1,1,41.0,1,1.8442231255955668,False,0.2906465448943386,86,2025-06-13 14:05:52.624999
ENT1046_ENT268,ENT1046,ENT268,Read_LoanOriginationSystemAsiaconfigurationsettings,Admin_Riskparameters,2,1.0986122886681096,0,8,5,6.5,3,1,8,8.0,0,0,1,1,52.0,0,0.9086322777570687,False,0.14319895919550432,86,2025-06-13 14:05:52.624999
