combination_id,entitlement_1,entitlement_2,entitlement_1_name,entitlement_2_name,frequency,log_frequency,is_rare,max_risk,min_risk,avg_risk,risk_difference,both_high_risk,max_criticality,avg_criticality,same_application,same_type,same_function,cross_function_high_risk,combined_risk_score,cluster,distance_to_center,is_anomaly,anomaly_score,batch_id,processing_timestamp
ENT1065_ENT1097,ENT1065,ENT1097,Read_LoanOriginationSystemAsiareports,Admin_LoanOriginationSystemEuropebatchjobs,2,1.0986122886681096,0,8,5,6.5,3,1,8,8.0,0,0,1,1,52.0,1,1.9019811078127549,False,0.11958840861878671,23,2025-06-13 14:06:57.656611
ENT1065_ENT1152,ENT1065,ENT1152,Read_LoanOriginationSystemAsiareports,Read_LoanOriginationSystemAmericasreferencedata,6,1.9459101490553132,0,5,5,5.0,0,1,8,8.0,0,1,1,1,40.0,0,2.098564594165393,False,0.13194873449009886,23,2025-06-13 14:06:57.656611
ENT1065_ENT1177,ENT1065,ENT1177,Read_LoanOriginationSystemAsiareports,Write_TreasuryManagementAsiaconfigurationsettings,5,1.791759469228055,0,6,5,5.5,1,1,8,7.5,0,0,1,1,41.0,0,1.2494163424141773,False,0.07855793702569529,23,2025-06-13 14:06:57.656611
ENT1065_ENT1227,ENT1065,ENT1227,Read_LoanOriginationSystemAsiareports,Execute_TreasuryManagementEuropenotifications,5,1.791759469228055,0,6,5,5.5,1,1,8,7.5,0,0,1,1,41.0,0,1.2494163424141773,False,0.07855793702569529,23,2025-06-13 14:06:57.656611
ENT1065_ENT127,ENT1065,ENT127,Read_LoanOriginationSystemAsiareports,Execute_Creditreports,3,1.3862943611198906,0,7,5,6.0,2,1,8,8.0,0,0,1,1,48.0,1,1.4421096724565712,False,0.09067366656505155,23,2025-06-13 14:06:57.656611
ENT1065_ENT144,ENT1065,ENT144,Read_LoanOriginationSystemAsiareports,Read_Creditreports,5,1.791759469228055,0,5,5,5.0,0,1,8,8.0,0,1,1,1,40.0,0,2.139855107959057,False,0.13454490477557285,23,2025-06-13 14:06:57.656611
ENT1065_ENT1509,ENT1065,ENT1509,Read_LoanOriginationSystemAsiareports,Write_RiskEngineAmericasconfigurationsettings,3,1.3862943611198906,0,6,5,5.5,1,1,8,8.0,0,0,1,1,44.0,0,2.371462425926071,False,0.1491073788539785,23,2025-06-13 14:06:57.656611
ENT1065_ENT1528,ENT1065,ENT1528,Read_LoanOriginationSystemAsiareports,Read_RegReportingAsiabatchjobs,6,1.9459101490553132,0,5,4,4.5,1,1,8,7.5,0,1,1,1,34.0,0,1.9832800208995955,False,0.12470013533287218,23,2025-06-13 14:06:57.656611
ENT1065_ENT1565,ENT1065,ENT1565,Read_LoanOriginationSystemAsiareports,Write_RegReportingEuropeworkflowrules,6,1.9459101490553132,0,6,5,5.5,1,1,8,7.5,0,0,1,1,41.0,0,1.1772997364807798,False,0.0740235543742919,23,2025-06-13 14:06:57.656611
ENT1065_ENT1575,ENT1065,ENT1575,Read_LoanOriginationSystemAsiareports,Read_RegReportingEuropenotifications,6,1.9459101490553132,0,5,4,4.5,1,1,8,7.5,0,1,1,1,34.0,0,1.9832800208995955,False,0.12470013533287218,23,2025-06-13 14:06:57.656611
ENT1065_ENT1745,ENT1065,ENT1745,Read_LoanOriginationSystemAsiareports,Read_FraudDetectionAmericasdashboards,6,1.9459101490553132,0,6,5,5.5,1,1,9,8.5,0,1,1,1,47.0,0,2.826650540043738,False,0.17772765376938923,23,2025-06-13 14:06:57.656611
ENT1065_ENT589,ENT1065,ENT589,Read_LoanOriginationSystemAsiareports,Read_GeneralLedgernotifications,3,1.3862943611198906,0,5,5,5.0,0,1,8,8.0,0,1,1,1,40.0,0,2.75776413616432,False,0.17339637235887922,23,2025-06-13 14:06:57.656611
ENT1065_ENT706,ENT1065,ENT706,Read_LoanOriginationSystemAsiareports,Write_SharePointPortalbatchjobs,4,1.6094379124341003,0,5,4,4.5,1,1,8,6.0,0,0,1,1,28.0,0,2.8788769207595775,False,0.1810114244293978,23,2025-06-13 14:06:57.656611
ENT1065_ENT886,ENT1065,ENT886,Read_LoanOriginationSystemAsiareports,Write_CoreBankingAmericasreports,6,1.9459101490553132,0,7,5,6.0,2,1,9,8.5,0,0,1,1,51.5,1,2.678464860086191,False,0.1684103742373149,23,2025-06-13 14:06:57.656611
ENT1097_ENT1152,ENT1097,ENT1152,Admin_LoanOriginationSystemEuropebatchjobs,Read_LoanOriginationSystemAmericasreferencedata,2,1.0986122886681096,0,8,5,6.5,3,1,8,8.0,0,0,1,1,52.0,1,1.9019811078127549,False,0.11958840861878671,23,2025-06-13 14:06:57.656611
ENT1097_ENT1177,ENT1097,ENT1177,Admin_LoanOriginationSystemEuropebatchjobs,Write_TreasuryManagementAsiaconfigurationsettings,2,1.0986122886681096,0,8,6,7.0,2,1,8,7.5,0,0,1,1,53.0,1,1.863682113184131,False,0.11718033221859384,23,2025-06-13 14:06:57.656611
ENT1097_ENT1227,ENT1097,ENT1227,Admin_LoanOriginationSystemEuropebatchjobs,Execute_TreasuryManagementEuropenotifications,1,0.6931471805599453,1,8,6,7.0,2,1,8,7.5,0,0,1,1,53.0,1,4.2796532225403805,False,0.2690862260521735,23,2025-06-13 14:06:57.656611
ENT1097_ENT127,ENT1097,ENT127,Admin_LoanOriginationSystemEuropebatchjobs,Execute_Creditreports,1,0.6931471805599453,1,8,7,7.5,1,1,8,8.0,0,0,1,1,60.0,1,4.902918063644346,True,0.30827444416301397,23,2025-06-13 14:06:57.656611
ENT1097_ENT144,ENT1097,ENT144,Admin_LoanOriginationSystemEuropebatchjobs,Read_Creditreports,2,1.0986122886681096,0,8,5,6.5,3,1,8,8.0,0,0,1,1,52.0,1,1.9019811078127549,False,0.11958840861878671,23,2025-06-13 14:06:57.656611
ENT1097_ENT1509,ENT1097,ENT1509,Admin_LoanOriginationSystemEuropebatchjobs,Write_RiskEngineAmericasconfigurationsettings,1,0.6931471805599453,1,8,6,7.0,2,1,8,8.0,0,0,1,1,56.0,1,4.265762307484005,False,0.2682128249342407,23,2025-06-13 14:06:57.656611
ENT1097_ENT1528,ENT1097,ENT1528,Admin_LoanOriginationSystemEuropebatchjobs,Read_RegReportingAsiabatchjobs,2,1.0986122886681096,0,8,4,6.0,4,1,8,7.5,0,0,1,1,46.0,1,3.254773696190423,False,0.20464620029234173,23,2025-06-13 14:06:57.656611
ENT1097_ENT1565,ENT1097,ENT1565,Admin_LoanOriginationSystemEuropebatchjobs,Write_RegReportingEuropeworkflowrules,2,1.0986122886681096,0,8,6,7.0,2,1,8,7.5,0,0,1,1,53.0,1,1.863682113184131,False,0.11718033221859384,23,2025-06-13 14:06:57.656611
ENT1097_ENT1575,ENT1097,ENT1575,Admin_LoanOriginationSystemEuropebatchjobs,Read_RegReportingEuropenotifications,2,1.0986122886681096,0,8,4,6.0,4,1,8,7.5,0,0,1,1,46.0,1,3.254773696190423,False,0.20464620029234173,23,2025-06-13 14:06:57.656611
ENT1097_ENT1745,ENT1097,ENT1745,Admin_LoanOriginationSystemEuropebatchjobs,Read_FraudDetectionAmericasdashboards,2,1.0986122886681096,0,8,6,7.0,2,1,9,8.5,0,0,1,1,59.0,1,2.2280163211949016,False,0.1400881034695391,23,2025-06-13 14:06:57.656611
ENT1097_ENT589,ENT1097,ENT589,Admin_LoanOriginationSystemEuropebatchjobs,Read_GeneralLedgernotifications,1,0.6931471805599453,1,8,5,6.5,3,1,8,8.0,0,0,1,1,52.0,1,4.296469809119392,False,0.27014358083825585,23,2025-06-13 14:06:57.656611
ENT1097_ENT706,ENT1097,ENT706,Admin_LoanOriginationSystemEuropebatchjobs,Write_SharePointPortalbatchjobs,1,0.6931471805599453,1,8,4,6.0,4,1,8,6.0,0,0,1,1,40.0,1,5.729353966851584,True,0.36023718663401494,23,2025-06-13 14:06:57.656611
ENT1097_ENT886,ENT1097,ENT886,Admin_LoanOriginationSystemEuropebatchjobs,Write_CoreBankingAmericasreports,2,1.0986122886681096,0,8,7,7.5,1,1,9,8.5,0,0,1,1,63.5,1,3.360404002941486,False,0.21128778060793207,23,2025-06-13 14:06:57.656611
ENT1152_ENT1177,ENT1152,ENT1177,Read_LoanOriginationSystemAmericasreferencedata,Write_TreasuryManagementAsiaconfigurationsettings,6,1.9459101490553132,0,6,5,5.5,1,1,8,7.5,0,0,1,1,41.0,0,1.1772997364807798,False,0.0740235543742919,23,2025-06-13 14:06:57.656611
