combination_id,entitlement_1,entitlement_2,entitlement_1_name,entitlement_2_name,frequency,log_frequency,is_rare,max_risk,min_risk,avg_risk,risk_difference,both_high_risk,max_criticality,avg_criticality,same_application,same_type,same_function,cross_function_high_risk,combined_risk_score,cluster,distance_to_center,is_anomaly,anomaly_score,batch_id,processing_timestamp
ENT1204_ENT1368,ENT1204,ENT1368,Write_TreasuryManagementEuropereports,Admin_TradingPlatformAmericasconfigurationsettings,6,1.9459101490553132,0,8,6,7.0,2,1,9,8.0,0,0,1,1,57.0,1,1.8135851874726634,False,0.35287704838296075,1,2025-06-13 14:06:55.405904
ENT1204_ENT1387,ENT1204,ENT1387,Write_TreasuryManagementEuropereports,Execute_TradingPlatformAmericasbatchjobs,6,1.9459101490553132,0,8,6,7.0,2,1,9,8.0,0,0,1,1,57.0,1,1.8135851874726634,False,0.35287704838296075,1,2025-06-13 14:06:55.405904
ENT1204_ENT1445,ENT1204,ENT1445,Write_TreasuryManagementEuropereports,Execute_RiskEngineEuropereports,1,0.6931471805599453,1,7,6,6.5,1,1,8,7.5,0,0,1,1,49.0,4,0.9777579448470158,False,0.19024655692706763,1,2025-06-13 14:06:55.405904
ENT1204_ENT1489,ENT1204,ENT1489,Write_TreasuryManagementEuropereports,Read_RiskEngineAmericasreferencedata,5,1.791759469228055,0,6,5,5.5,1,1,8,7.5,0,0,1,1,41.0,2,1.6920070000459682,False,0.32922105900720433,1,2025-06-13 14:06:55.405904
ENT1204_ENT1774,ENT1204,ENT1774,Write_TreasuryManagementEuropereports,Write_CardManagementAsiaconfigurationsettings,7,2.0794415416798357,0,6,6,6.0,0,1,8,7.5,0,1,1,1,45.0,2,2.768422658193286,False,0.5386638703534747,1,2025-06-13 14:06:55.405904
ENT1204_ENT1779,ENT1204,ENT1779,Write_TreasuryManagementEuropereports,Admin_CardManagementAsiareferencedata,6,1.9459101490553132,0,8,6,7.0,2,1,8,7.5,0,0,1,1,53.0,1,1.8789374110572574,False,0.3655929108211251,1,2025-06-13 14:06:55.405904
ENT1204_ENT1969,ENT1204,ENT1969,Write_TreasuryManagementEuropereports,Admin_WealthManagementAmericasconfigurationsettings,3,1.3862943611198906,0,8,6,7.0,2,1,7,7.0,0,0,1,1,49.0,1,2.7606046680624408,False,0.5371426904824017,1,2025-06-13 14:06:55.405904
ENT1204_ENT1994,ENT1204,ENT1994,Write_TreasuryManagementEuropereports,Read_WealthManagementAmericasbatchjobs,6,1.9459101490553132,0,6,4,5.0,2,1,7,7.0,0,0,1,1,35.0,2,1.55603352055203,False,0.3027641159125998,1,2025-06-13 14:06:55.405904
ENT1204_ENT1997,ENT1204,ENT1997,Write_TreasuryManagementEuropereports,Write_WealthManagementAmericasconfigurationsettings,6,1.9459101490553132,0,6,6,6.0,0,1,7,7.0,0,1,1,1,42.0,2,2.389796733291526,False,0.46499300022093215,1,2025-06-13 14:06:55.405904
ENT1204_ENT321,ENT1204,ENT321,Write_TreasuryManagementEuropereports,Admin_Alertrules,6,1.9459101490553132,0,8,6,7.0,2,1,9,8.0,0,0,1,1,57.0,1,1.8135851874726634,False,0.35287704838296075,1,2025-06-13 14:06:55.405904
ENT1204_ENT328,ENT1204,ENT328,Write_TreasuryManagementEuropereports,Admin_Alertrules,4,1.6094379124341003,0,8,6,7.0,2,1,9,8.0,0,0,1,1,57.0,1,1.3555153896530818,False,0.263748443162485,1,2025-06-13 14:06:55.405904
ENT1204_ENT486,ENT1204,ENT486,Write_TreasuryManagementEuropereports,Read_MobileBankingnotifications,8,2.1972245773362196,0,6,4,5.0,2,1,7,7.0,0,0,1,1,35.0,2,2.279581449097133,False,0.44354793966251116,1,2025-06-13 14:06:55.405904
ENT1204_ENT554,ENT1204,ENT554,Write_TreasuryManagementEuropereports,Read_InternetBankingreferencedata,7,2.0794415416798357,0,6,4,5.0,2,1,7,7.0,0,0,1,1,35.0,2,1.8518561083179825,False,0.3603235855955932,1,2025-06-13 14:06:55.405904
ENT1204_ENT609,ENT1204,ENT609,Write_TreasuryManagementEuropereports,Write_HRSystemsystemparameters,5,1.791759469228055,0,6,5,5.5,1,1,7,6.0,0,1,1,1,33.5,2,2.1791238050497066,False,0.42400146499794766,1,2025-06-13 14:06:55.405904
ENT1368_ENT1387,ENT1368,ENT1387,Admin_TradingPlatformAmericasconfigurationsettings,Execute_TradingPlatformAmericasbatchjobs,5,1.791759469228055,0,8,8,8.0,0,1,9,9.0,1,0,1,1,72.0,0,4.415465099912132,True,0.8591359823942397,1,2025-06-13 14:06:55.405904
ENT1368_ENT1445,ENT1368,ENT1445,Admin_TradingPlatformAmericasconfigurationsettings,Execute_RiskEngineEuropereports,1,0.6931471805599453,1,8,7,7.5,1,1,9,8.5,0,0,1,1,64.0,4,2.147374812561232,False,0.4178239273582196,1,2025-06-13 14:06:55.405904
ENT1368_ENT1489,ENT1368,ENT1489,Admin_TradingPlatformAmericasconfigurationsettings,Read_RiskEngineAmericasreferencedata,3,1.3862943611198906,0,8,5,6.5,3,1,9,8.5,0,0,1,1,56.0,1,1.476033298936476,False,0.2871981296723725,1,2025-06-13 14:06:55.405904
ENT1368_ENT1774,ENT1368,ENT1774,Admin_TradingPlatformAmericasconfigurationsettings,Write_CardManagementAsiaconfigurationsettings,5,1.791759469228055,0,8,6,7.0,2,1,9,8.5,0,0,1,1,60.0,1,1.8101250503051896,False,0.35220379465377705,1,2025-06-13 14:06:55.405904
ENT1368_ENT1779,ENT1368,ENT1779,Admin_TradingPlatformAmericasconfigurationsettings,Admin_CardManagementAsiareferencedata,5,1.791759469228055,0,8,8,8.0,0,1,9,8.5,0,1,1,1,68.0,0,1.364417606784336,False,0.26548058573127103,1,2025-06-13 14:06:55.405904
ENT1368_ENT1969,ENT1368,ENT1969,Admin_TradingPlatformAmericasconfigurationsettings,Admin_WealthManagementAmericasconfigurationsettings,2,1.0986122886681096,0,8,8,8.0,0,1,9,8.0,0,1,1,1,64.0,0,1.870769719119227,False,0.3640036879695589,1,2025-06-13 14:06:55.405904
ENT1368_ENT1994,ENT1368,ENT1994,Admin_TradingPlatformAmericasconfigurationsettings,Read_WealthManagementAmericasbatchjobs,5,1.791759469228055,0,8,4,6.0,4,1,9,8.0,0,0,1,1,50.0,1,1.396704373155683,False,0.27176276034189867,1,2025-06-13 14:06:55.405904
ENT1368_ENT1997,ENT1368,ENT1997,Admin_TradingPlatformAmericasconfigurationsettings,Write_WealthManagementAmericasconfigurationsettings,5,1.791759469228055,0,8,6,7.0,2,1,9,8.0,0,0,1,1,57.0,1,1.4555446237620913,False,0.2832115602678829,1,2025-06-13 14:06:55.405904
ENT1368_ENT321,ENT1368,ENT321,Admin_TradingPlatformAmericasconfigurationsettings,Admin_Alertrules,5,1.791759469228055,0,8,8,8.0,0,1,9,9.0,0,1,1,1,72.0,0,1.5627523642558157,False,0.30407143014912724,1,2025-06-13 14:06:55.405904
ENT1368_ENT328,ENT1368,ENT328,Admin_TradingPlatformAmericasconfigurationsettings,Admin_Alertrules,3,1.3862943611198906,0,8,8,8.0,0,1,9,9.0,0,1,1,1,72.0,0,1.3586945986640897,False,0.2643670354953659,1,2025-06-13 14:06:55.405904
ENT1368_ENT486,ENT1368,ENT486,Admin_TradingPlatformAmericasconfigurationsettings,Read_MobileBankingnotifications,6,1.9459101490553132,0,8,4,6.0,4,1,9,8.0,0,0,1,1,50.0,1,1.7667099893445266,False,0.34375634003571487,1,2025-06-13 14:06:55.405904
ENT1368_ENT554,ENT1368,ENT554,Admin_TradingPlatformAmericasconfigurationsettings,Read_InternetBankingreferencedata,5,1.791759469228055,0,8,4,6.0,4,1,9,8.0,0,0,1,1,50.0,1,1.396704373155683,False,0.27176276034189867,1,2025-06-13 14:06:55.405904
ENT1368_ENT609,ENT1368,ENT609,Admin_TradingPlatformAmericasconfigurationsettings,Write_HRSystemsystemparameters,3,1.3862943611198906,0,8,5,6.5,3,1,9,7.0,0,0,1,1,48.5,1,1.521668616061298,False,0.29607758905496095,1,2025-06-13 14:06:55.405904
ENT1387_ENT1445,ENT1387,ENT1445,Execute_TradingPlatformAmericasbatchjobs,Execute_RiskEngineEuropereports,1,0.6931471805599453,1,8,7,7.5,1,1,9,8.5,0,1,1,1,64.0,4,2.9992494865814656,False,0.5835768363678979,1,2025-06-13 14:06:55.405904
ENT1387_ENT1489,ENT1387,ENT1489,Execute_TradingPlatformAmericasbatchjobs,Read_RiskEngineAmericasreferencedata,3,1.3862943611198906,0,8,5,6.5,3,1,9,8.5,0,0,1,1,56.0,1,1.476033298936476,False,0.2871981296723725,1,2025-06-13 14:06:55.405904
ENT1387_ENT1774,ENT1387,ENT1774,Execute_TradingPlatformAmericasbatchjobs,Write_CardManagementAsiaconfigurationsettings,5,1.791759469228055,0,8,6,7.0,2,1,9,8.5,0,0,1,1,60.0,1,1.8101250503051896,False,0.35220379465377705,1,2025-06-13 14:06:55.405904
